root_id,top_in/out_region,community_labels,predicted_nt_type,predicted_nt_confidence,verified_nt_type,verified_neuropeptide,body_part,function,flow,super_class,class,sub_class,hemilineage,nerve,soma_side,primary_cell_type,alternative_cell_type(s),cable_length_(nm),surface_area_(nm^2),volume_(nm^3),known_nt_simplified,top_nt,idx,sign
720575941561155496,LO,"CB3830,CNS neuron,soma in brain",gaba,0.52,,,,,intrinsic,optic_lobe_intrinsic,lobula_intrinsic,,,,left,Li17,Li17,,,,,gaba,70451,-1
720575941561159469,GNG,,gaba,0.51,,,interommatidial,tactile,afferent,sensory,bristle_neuron,interommatidial_bristle_neuron,,right_eye_nerve,right,BM_InOm,BM_InOm,,,,,unknown,70452,1
720575941561165357,ME,soma in brain,glutamate,0.7,,,,,,,,,,,left,,,,,,,gaba,70453,-1
720575941561169965,ME,soma in brain,glutamate,0.76,,,,,,,,,,,left,,,,,,,gaba,70454,-1
720575941561179816,MB_CA.MB_VL,"CNS neuron,soma in brain",dopamine,0.41,acetylcholine,sNPF,,,intrinsic,central_brain_intrinsic,kenyon_cell,KCg,MBp4,,right,KCg-m,KCg-m,,,,acetylcholine,acetylcholine,70455,1
720575941561192749,ME,soma in brain,acetylcholine,0.73,,,,,,,,,,,left,,,,,,,gaba,70456,-1
720575941561197736,T3_METANM,soma in VNC,glutamate,0.89,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_contralateral_restricted,14A,,left,IN14A058,IN14A058,,,,,glutamate,70457,-1
720575941561199149,LO,soma in brain,acetylcholine,0.67,,,,,,,,,,,left,,,,,,,gaba,70458,-1
720575941561204626,T1_PRONM,"innervates T1 leg,innervates left side of body,innervates leg",gaba,0.38,glutamate,,front_leg,"leg_motor,unknown_leg_movement",efferent,motor,leg_motor_neuron,front_leg_motor_neuron,,left_prothoracic_leg_nerve,left,femur_reductor,femur_reductor,,,,glutamate,glutamate,70459,-1
720575941561206952,LTCT,soma in VNC,gaba,0.96,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,00A,,left,IN00A034,IN00A034,,,,gaba,gaba,70460,-1
