,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign
41657,720575940639301747,AN_GNG_123,right,gaba,ascending,AN,AN_GNG,,,46743,-1
41658,720575940624807301,AN_AVLP_GNG_23,right,gaba,ascending,AN,AN_AVLP_GNG,,,25359,-1
41659,720575940624276733,AN_GNG_64,right,gaba,ascending,AN,AN_GNG,,,24376,-1
41660,720575940632879405,AN_GNG_SAD_11,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,40674,1
41661,720575940625857923,AN_multi_25,right,acetylcholine,ascending,AN,AN_multi,,,27375,1
41662,720575940605694752,AN_AVLP_GNG_9,right,acetylcholine,ascending,AN,AN_AVLP_GNG,,,1024,1
41663,720575940636985422,SA_VTV_5,right,glutamate,ascending,AN,SA_VTV_pro_meso_meta,,,44608,-1
41664,720575940624967561,AN_GNG_FLA_2,right,acetylcholine,ascending,AN,AN_GNG_FLA,,,25637,1
41665,720575940624968841,SA_VTV_3,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,25640,1
41666,720575940637723008,AN_GNG_167,right,glutamate,ascending,AN,AN_GNG,,,45332,-1
41667,720575940625002633,AN_multi_123,right,gaba,ascending,AN,AN_multi,,,25714,-1
41668,720575940633051499,AN_GNG_88,right,acetylcholine,ascending,AN,AN_GNG,,,40871,1
41669,720575940625370194,AN_AVLP_GNG_13,right,gaba,ascending,AN,AN_AVLP_GNG,,,26360,-1
41670,720575940624500313,AN_GNG_63,right,gaba,ascending,AN,AN_GNG,,,24828,-1
41671,720575940620463732,AN_multi_113,right,acetylcholine,ascending,AN,AN_multi,,,16820,1
41672,720575940622803859,AN_AVLP_37,right,gaba,ascending,AN,AN_AVLP,,,21489,-1
41673,720575940627572602,AN_GNG_196,right,serotonin,ascending,AN,AN_GNG,,,31027,1
41674,720575940625632516,SA_VTV_2,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,26860,1
41675,720575940610903409,AN_AVLP_20,right,acetylcholine,ascending,AN,AN_AVLP,,,4126,1
41676,720575940621369066,AN_WED_GNG_2,right,acetylcholine,ascending,AN,AN_WED_GNG,,,18556,1
41677,720575940631603737,720575940631603737,right,acetylcholine,ascending,AN,,,,38824,1
41678,720575940627855620,AN_GNG_AVLP_2,right,glutamate,ascending,AN,AN_GNG_FLA,,,31585,-1
41679,720575940652593398,AN_GNG_150,right,gaba,ascending,AN,AN_GNG,,,50119,-1
41680,720575940629041790,AN_GNG_134,right,acetylcholine,ascending,AN,AN_GNG,,,34007,1
41681,720575940615407583,AN_GNG_71,right,acetylcholine,ascending,AN,AN_GNG,,,9270,1
41682,720575940626986877,AN_GNG_190,right,acetylcholine,ascending,AN,AN_GNG,,,29766,1
41683,720575940620453040,AN_GNG_198,right,gaba,ascending,AN,AN_GNG,,,16801,-1
41684,720575940626953049,AN_multi_117,right,acetylcholine,ascending,AN,AN_multi,,,29685,1
41685,720575940627008359,AN_GNG_165,right,acetylcholine,ascending,AN,AN_GNG,,,29813,1
41686,720575940644096712,AN_GNG_AMMC_1,right,gaba,ascending,AN,AN_GNG_AMMC,,,48653,-1
41687,720575940627575596,SA_VTV_6,right,serotonin,ascending,AN,SA_VTV_pro_meso_meta,,,31037,1
41688,720575940624433027,SA_VTV_7,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,24718,1
41689,720575940632815315,AN_AVLP_PVLP_7,right,acetylcholine,ascending,AN,AN_AVLP_PVLP,,,40582,1
41690,720575940622197313,AN_GNG_SAD_21,right,acetylcholine,ascending,AN,AN_GNG_SAD,,,20229,1
41691,720575940627902268,SA_VTV_10,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,31648,1
41692,720575940615322553,AN_AVLP_GNG_23,right,gaba,ascending,AN,AN_AVLP_GNG,,,9173,-1
41693,720575940626664235,AN_GNG_32,right,acetylcholine,ascending,AN,AN_GNG,,,29027,1
41694,720575940628265467,SA_VTV_10,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,32397,1
41695,720575940628267259,AN_GNG_196,right,serotonin,ascending,AN,AN_GNG,,,32399,1
41696,720575940640173184,AN_GNG_93,right,gaba,ascending,AN,AN_GNG,,,47301,-1
41697,720575940607375794,AN_GNG_SAD_28,right,serotonin,ascending,AN,AN_GNG_SAD,,,1844,1
41698,720575940620225612,AN_GNG_193,right,glutamate,ascending,AN,AN_GNG,,,16384,-1
41699,720575940625907143,SA_VTV_4,right,acetylcholine,ascending,AN,SA_VTV_pro_meso_meta,,,27502,1
41700,720575940628946731,AN_GNG_154,right,serotonin,ascending,AN,AN_GNG,,,33801,1
41701,720575940627067368,AN_AVLP_46,right,acetylcholine,ascending,AN,AN_AVLP,,,29934,1
41702,720575940645125508,AN_GNG_10,right,acetylcholine,ascending,AN,AN_GNG,,,49032,1
41703,720575940612435353,AN_AVLP_54,right,acetylcholine,ascending,AN,AN_AVLP,,,5793,1
