pre_root_id,post_root_id,syn_count
547151,59386,1
61233,28691,1
61233,11355,1
61233,13488,1
61233,50929,1
61233,12535,1
61233,11560,5
61233,43852,1
61233,27470,1
61233,25440,2
61233,14821,2
61233,18921,2
85039,37294,1
85039,42817,2
85039,121167,2
85039,126293,1
85039,72794,2
85039,42846,6
85039,110693,2
85039,51824,1
85039,141300,1
85039,126840,1
88795,19974,1
88795,101898,1
88795,23565,1
88795,21519,3
88795,30225,1
88795,99346,3
88795,140820,1
88795,52253,3
88795,43040,12
88795,32805,7
88795,522790,3
88795,18982,7
88795,25131,1
88795,30773,1
88795,518715,4
88795,46657,1
88795,17480,3
88795,16973,1
88795,533103,1
88795,37003,7
88795,30860,1
88795,60054,2
88795,10396,1
88795,26794,5
88795,54443,1
88795,561332,1
88795,26316,1
88795,34011,2
88795,515810,1
88795,72430,1
88795,70894,1
88795,23281,1
88795,61704,1
88795,37640,1
88795,57625,4
88795,14120,4
88795,18221,14
88795,46383,1
88795,526642,1
88795,32055,2
88795,17720,4
88795,35129,3
88795,32571,4
88795,102209,1
88795,12106,1
88795,17738,1
88795,13142,4
88795,98136,1
88795,29537,8
88795,31073,3
88795,97122,1
88795,24933,8
88795,33125,3
88795,77311,5
88795,56695,1
88795,515960,3
88795,10624,1
88795,103306,7
88795,28559,2
88795,21911,3
88795,25509,2
88795,20906,2
88795,43949,1
88795,22446,2
88795,48558,1
88795,47528,1
88795,25529,3
88795,126393,8
88795,32699,2
88795,12221,1
88795,63998,1
88795,28619,1
88795,35293,4
88795,27618,1
88795,10744,2
88795,57851,4
88795,523775,4
93365,11776,1
93365,10498,1
93365,515217,1
93365,75299,1
93365,60592,1
93365,28082,1
93365,10239,3
93365,46143,1
93365,20938,1
93365,43760,1
93365,46835,1
93365,514420,2
93365,529271,1
93365,525687,2
533170,66828,1
533170,28052,1
533170,32660,1
533170,530331,1
533170,50803,1
80958,533253,8
80958,149161,1
80958,200500,2
80958,130230,1
80958,580920,4
80958,56257,1
80958,114410,1
80958,58108,1
544342,86801,1
544342,10260,2
544342,77333,2
544342,134696,5
544342,51240,3
544342,55600,4
544342,61365,5
544342,47800,10
544342,122163,2
544342,72890,1
544342,80836,3
544342,136521,1
544342,49875,6
544342,552275,1
544342,52320,7
544342,175586,2
904846,805962,1
63133,78236,1
63133,88274,1
63133,225910,2
110830,50050,2
110830,13563,4
110830,55952,3
110830,146456,1
110830,42525,3
110830,32929,1
110830,76852,1
110830,35766,6
110830,41409,2
110830,78276,1
110830,12491,1
110830,25165,1
110830,54358,5
110830,83164,1
110830,13298,1
110830,11383,1
518433,516629,1
518433,140869,1
518433,62040,3
518433,15963,1
518433,23653,1
518433,515684,1
518433,79978,1
518433,525419,1
518433,98930,1
518433,10362,3
518433,21138,1
518433,56504,1
518433,526015,1
518433,131278,2
518433,535268,1
518433,10475,1
518433,11013,1
518433,31505,1
518433,525091,2
518433,113444,1
518433,60197,1
518433,24891,1
518433,543070,1
518433,87906,3
518433,11658,1
518433,17314,2
518433,63913,1
518433,30634,1
518433,518573,5
518433,534967,1
518433,518585,1
518433,25536,3
518433,47554,1
518433,158677,1
518433,18399,1
518433,87521,1
518433,62438,1
518433,111596,2
518433,132080,2
15723,520194,1
15723,13327,2
15723,513055,3
15723,10296,2
15723,41039,2
15723,10838,14
15723,14429,1
15723,23199,1
15723,11970,1
15723,11982,2
15723,13006,2
15723,10458,1
15723,66284,1
15723,17140,2
15723,11526,8
15723,53056,6
15723,10575,3
15723,18811,3
15723,10116,1
15723,572814,1
15723,10643,2
15723,514967,3
15723,10135,2
15723,13247,1
15723,17352,1
15723,14291,3
811317,909696,3
811317,810888,1
811317,808460,2
811317,811663,1
811317,814734,1
811317,811678,1
811317,933278,6
811317,808100,1
811317,910765,4
811317,907459,3
811317,911832,4
811317,811508,5
811317,814836,1
811317,814201,1
811317,807418,1
811317,904572,1
37688,520647,1
37688,142294,1
