pre_root_id,post_root_id,syn_count
174388,96983,2
127074,96983,2
79292,96983,2
61135,96983,2
548923,96983,2
70383,96983,2
33249,96983,2
74783,96983,2
56933,96983,2
201268,96983,1
526111,96983,1
526109,96983,1
542435,96983,1
543101,96983,1
544003,96983,1
541893,96983,1
536623,96983,1
515134,96983,1
558477,96983,1
70391,96983,1
68620,96983,1
64744,96983,1
64421,96983,1
29396,96983,1
72707,96983,1
73724,96983,1
71287,96983,1
75979,96983,1
76002,96983,1
40123,96983,1
39934,96983,1
38990,96983,1
50386,96983,1
44580,96983,1
60996,96983,1
38828,96983,1
51649,96983,1
56206,96983,1
54402,96983,1
54881,96983,1
130437,96983,1
125365,96983,1
169770,96983,1
163612,96983,1
157534,96983,1
147679,96983,1
25227,96983,1
95290,96983,1
25157,96983,1
86559,96983,1
114691,96983,1
103119,96983,1
102776,96983,1
46210,226919,3
207595,226919,5
60518,226919,5
68782,226919,4
551319,226919,4
148950,226919,3
145178,226919,3
67376,226919,3
69628,226919,3
518481,226919,3
61932,226919,3
103907,226919,2
24182,226919,2
151637,226919,2
513326,226919,2
148598,226919,2
204388,226919,2
196946,226919,2
165422,226919,2
234021,226919,2
125504,226919,2
78963,226919,2
81048,226919,2
87754,226919,2
513325,226919,1
514175,226919,1
207733,226919,1
209491,226919,1
217857,226919,1
68385,226919,1
75498,226919,1
45351,226919,1
19867,226919,1
146671,226919,1
148727,226919,1
148348,226919,1
85882,226919,1
86642,226919,1
100759,226919,1
54823,79452,9
71734,79452,8
52709,79452,6
124637,79452,6
87617,79452,5
55435,79452,4
65857,79452,4
164398,79452,1
140815,79452,3
54143,79452,3
96820,79452,2
100710,79452,2
156469,79452,2
43522,79452,2
70877,79452,2
71626,79452,2
91145,79452,2
213574,79452,1
28460,79452,1
42057,79452,1
45624,79452,1
135131,79452,1
139629,79452,1
156052,79452,1
91047,79452,1
82697,79452,1
86640,79452,1
174949,91236,2
167938,91236,3
568680,91236,4
145364,91236,1
547198,91236,3
174315,91236,3
85591,91236,4
164339,91236,4
539597,91236,2
154142,91236,2
153236,91236,1
158588,91236,2
206304,91236,2
161696,91236,2
223235,91236,1
93077,91236,2
205083,91236,1
134766,91236,1
121038,91236,1
113037,91236,1
98941,91236,1
12055,10041,52
12771,10041,2
12039,10041,5
12646,10041,11
12943,10041,33
14286,10041,20
511821,10041,21
12131,10041,15
13158,10041,36
11166,10041,38
514596,10041,37
13007,10041,73
526297,10041,11
12510,10041,22
521305,10041,1
14133,10041,2
14755,10041,2
558801,10041,11
18928,10041,31
11199,10041,8
524902,10041,35
19255,10041,1
10830,10041,21
14787,10041,28
15266,10041,26
33821,10041,26
20798,10041,1
23230,10041,27
13877,10041,18
18597,10041,1
27311,10041,3
11674,10041,24
532909,10041,4
18480,10041,18
14789,10041,23
23836,10041,2
522345,10041,1
527620,10041,3
200284,10041,6
10529,10041,9
37032,10041,11
19445,10041,3
901791,10041,1
13301,10041,7
524893,10041,13
514361,10041,1
11192,10041,16
13219,10041,16
27250,10041,5
15160,10041,12
11659,10041,4
90885,10041,8
13648,10041,7
25107,10041,9
22122,10041,5
15689,10041,2
519720,10041,3
521624,10041,2
513401,10041,5
79407,10041,1
523331,10041,1
515574,10041,1
25275,10041,8
13667,10041,3
11259,10041,4
13371,10041,3
555344,10041,1
13425,10041,7
17356,10041,2
22202,10041,7
11176,10041,5
13123,10041,1
524159,10041,2
536048,10041,2
46366,10041,1
14330,10041,6
12151,10041,1
519724,10041,2
520528,10041,5
512077,10041,2
567693,10041,1
11563,10041,1
18802,10041,2
15310,10041,5
37588,10041,3
10420,10041,4
10655,10041,2
31171,10041,2
11628,10041,4
32062,10041,4
14553,10041,2
45722,10041,1
15283,10041,4
18403,10041,1
14987,10041,1
519895,10041,2
521191,10041,1
519132,10041,1
16531,10041,3
75129,10041,3
555751,10041,3
11387,10041,3
17805,10041,3
76829,10041,3
23479,10041,1
517580,10041,2
14543,10041,1
14056,10041,1
21209,10041,2
520118,10041,3
514677,10041,3
12565,10041,1
26763,10041,3
515182,10041,3
513649,10041,3
12166,10041,1
10546,10041,1
38471,10041,3
34187,10041,1
