pre,post,plen,connected,effconn,effconn_e,effconn_ad,effconn_ad_e
LB2c,LB2c,4,True,0.0120854172855615,0.0079117501154541,0.0,0.0
LB2c,LB2c,5,True,0.005675483494997,0.0023804751690477,0.0,0.0
LB1b,LB1b,1,True,0.2012589424848556,0.2012589424848556,0.0,0.0
LB1b,LB1b,2,True,0.0827313959598541,0.0450927540659904,0.0,0.0
LB1b,LB1b,3,True,0.03273356705904,0.0110561298206448,0.0,0.0
LB1b,LB1b,4,True,0.0226756501942873,0.0029974516946822,0.0,0.0
LB1b,LB1b,5,True,0.0145780146121978,0.0009138571331277,0.0,0.0
JO-A,JO-A,1,True,0.1299019306898117,0.1299019306898117,0.0,0.0
JO-A,JO-A,2,True,0.1420269906520843,0.0197378806769847,0.0,0.0
JO-A,JO-A,3,True,0.0764302983880043,0.0031542049255222,0.0,0.0
JO-A,JO-A,4,True,0.0534616932272911,0.0005371859879232,0.0,0.0
JO-A,JO-A,5,True,0.0376618206501007,0.0001020150812109,0.0,0.0
JO-D,JO-D,1,True,0.2126402407884597,0.2126402407884597,0.0,0.0
JO-D,JO-D,2,True,0.0574099794030189,0.0454273782670497,0.0,0.0
JO-D,JO-D,3,True,0.0159026607871055,0.009944456629455,0.0,0.0
JO-D,JO-D,4,True,0.0047694812528789,0.0021767520811408,0.0,0.0
JO-D,JO-D,5,True,0.0017927556764334,0.0004869471304118,0.0,0.0
JO-DA,JO-DA,1,True,0.1523584276437759,0.1523584276437759,0.0,0.0
JO-DA,JO-DA,2,True,0.0303908977657556,0.0270994566380977,0.0,0.0
JO-DA,JO-DA,3,True,0.0067039257846772,0.0051816082559525,0.0,0.0
JO-DA,JO-DA,4,True,0.0018354979110881,0.0011050991015508,0.0,0.0
JO-DA,JO-DA,5,True,0.000659023062326,0.0002572189550846,0.0,0.0
JO-DP,JO-DP,1,True,0.2031619697809219,0.2031619697809219,0.0,0.0
JO-DP,JO-DP,2,True,0.0695598796010017,0.0445562452077865,0.0,0.0
JO-DP,JO-DP,3,True,0.0215985756367445,0.0101189231500029,0.0,0.0
JO-DP,JO-DP,4,True,0.0071096825413405,0.0023979269899427,0.0,0.0
JO-DP,JO-DP,5,True,0.0024796910583972,0.0005856701172888,0.0,0.0
JO-mz,JO-mz,1,True,0.0400834120810031,0.0400834120810031,0.0,0.0
JO-mz,JO-mz,2,True,0.0196015257388353,0.003250339301303,0.0,0.0
JO-mz,JO-mz,3,True,0.0074093639850616,0.0004690217610914,0.0,0.0
JO-mz,JO-mz,4,True,0.0059968130663037,9.056898124981672e-05,0.0,0.0
JO-mz,JO-mz,5,True,0.0045107076875865,2.11780279641971e-05,0.0,0.0
JO-EDM,JO-EDM,1,True,0.048142023384571,0.048142023384571,0.0,0.0
JO-EDM,JO-EDM,2,True,0.0299753732979297,0.0030812779441475,0.0,0.0
JO-EDM,JO-EDM,3,True,0.0068168649449944,0.0003063455224037,0.0,0.0
JO-EDM,JO-EDM,4,True,0.0045294710434973,4.41234078607522e-05,0.0,0.0
JO-EDM,JO-EDM,5,True,0.0026568986941128,8.725099178263918e-06,0.0,0.0
CB3812,CB3812,1,True,0.0074794646352529,0.0074794646352529,0.0014987797476351,0.0014987797476351
CB3812,CB3812,2,True,0.0058187576942145,0.0023113372735679,0.0002714446163736,7.082746014930308e-05
CB3812,CB3812,3,True,0.0049145007506012,0.0003387987962923,4.952213203068823e-05,6.591335022676503e-06
CB3812,CB3812,4,True,0.0028691352345049,0.0001042082658386,1.566404534969479e-05,1.7395020677213324e-06
CB3812,CB3812,5,True,0.0024601274635642,3.615533569245599e-05,7.829105015844107e-06,3.711741101142252e-07
CB3884,CB3884,1,False,0.0,0.0,0.0,0.0
CB3884,CB3884,2,True,0.0006915446138009,0.0,0.0,0.0
CB3884,CB3884,3,True,0.000240357228904,0.0,0.0,0.0
CB3884,CB3884,4,True,0.0001507424894953,0.0,0.0,0.0
CB3884,CB3884,5,True,9.546005458105356e-05,0.0,0.0,0.0
CB0615,CB0615,1,False,0.0,0.0,0.0,0.0
CB0615,CB0615,2,True,0.0011499309912323,0.0002505727752577,0.0002555655955802,0.0001023250733851
CB0615,CB0615,3,True,0.0005956784589216,4.5829885493731126e-05,8.825073746265844e-05,1.3331629816093482e-05
CB0615,CB0615,4,True,0.0004085336404386,1.0186855433858e-05,3.863531674141996e-05,3.701281229950837e-06
CB0615,CB0615,5,True,0.0003282056713942,2.5657834612502484e-06,2.1997881049173884e-05,4.813996383745689e-07
JO-EVP,JO-EVP,1,True,0.1252428293228149,0.1252428293228149,0.0,0.0
JO-EVP,JO-EVP,2,True,0.027660496532917,0.0175028499215841,0.0,0.0
JO-EVP,JO-EVP,3,True,0.0072592599317431,0.0025993844028562,0.0,0.0
