pre,post,plen,effconn,effconn_e,effconn_i,e_effconn,ad_effconn,ad_effconn_e,ad_effconn_i,ad_e_effconn
720575940612707811,720575940612707811,5,0.000101560066286,5.0910276e-05,5.2635063e-05,0.0,6.063729263309143e-05,2.92022705252748e-05,3.163591827615164e-05,0.0
720575940624117245,720575940624117245,2,0.003192891832441,0.00018105844,0.0030118322,0.0,0.0001135165439336,1.0112672498507893e-05,0.0001034038650686,0.0
720575940624117245,720575940624117245,3,0.0011242438340559,0.00021232167,0.00091192155,0.0,0.0001229830959346,3.709004522534087e-05,8.589305070927367e-05,0.0
720575940624117245,720575940624117245,4,0.0007229014054054,0.00019850169,0.00054166437,0.0,0.0003202057246382,4.041282954858616e-05,0.0002798084460664,0.0
720575940624117245,720575940624117245,5,0.0005257733183243,0.00017933678,0.00036422035,0.0,0.0001921329351286,4.774427725351416e-05,0.000145171812619,0.0
720575940643174048,720575940643174048,2,0.000632879382465,0.000384786,0.0002480933,0.0,0.0002449097519274,0.0001416890445398,0.0001032207364914,0.0
720575940643174048,720575940643174048,3,0.0001723457826301,9.018224e-05,8.216356e-05,0.0,6.849585042800754e-05,2.562429290264845e-05,4.287155752535909e-05,0.0
720575940643174048,720575940643174048,4,8.459901471584754e-05,4.227434e-05,4.3533233e-05,0.0,3.390009690606182e-05,1.7419752111891285e-05,1.6606580174993724e-05,0.0
720575940643174048,720575940643174048,5,5.215733812226554e-05,2.6373802e-05,2.679262e-05,0.0,2.4492449765233265e-05,1.1899091987288555e-05,1.2708697795460466e-05,0.0
720575940630210375,720575940630210375,2,0.0002880511747207,0.00023462507,5.342609e-05,0.0,0.0004146782448515,0.000407486106269,7.192135853983928e-06,0.0
720575940630210375,720575940630210375,3,7.298612763406709e-05,3.6771475e-05,3.6214627e-05,0.0,4.184641147730872e-05,2.408512227702886e-05,1.7761281924322248e-05,0.0
720575940630210375,720575940630210375,4,2.854949398778948e-05,1.5270525e-05,1.378709e-05,0.0,1.3064564347058398e-05,7.936642759887036e-06,5.833256182086188e-06,0.0
720575940630210375,720575940630210375,5,1.4861626480074994e-05,7.5650455e-06,7.660746e-06,0.0,5.8151435045141e-06,2.9220532269391697e-06,3.067419356739265e-06,0.0
720575940615763573,720575940615763573,2,0.0027994900010526,0.0005044362,0.0022950545,0.0,0.000597933481913,0.0003118018212262,0.0002861315442714,0.0
720575940615763573,720575940615763573,3,0.0005213020485825,0.00028036418,0.00024093784,0.0,0.0001361083559459,8.564055315218866e-05,5.046778096584603e-05,0.0
720575940615763573,720575940615763573,4,0.0002494016946653,0.0001353354,0.00012611288,0.0,7.773838546048302e-05,3.588641993701458e-05,4.271053694537841e-05,0.0
720575940615763573,720575940615763573,5,0.000153644311178,7.89887e-05,8.0450096e-05,0.0,4.907278545722138e-05,2.4424134608125318e-05,2.514629159122705e-05,0.0
720575940627951619,720575940627951619,2,0.0002740065974649,0.00010440241,0.00016960414,0.0,0.0001168622111435,4.959975922247395e-05,6.72624446451664e-05,0.0
720575940627951619,720575940627951619,3,0.000111323512101,5.8563342e-05,5.2760173e-05,0.0,8.882861584424973e-05,5.715219958801754e-05,3.167643444612622e-05,0.0
720575940627951619,720575940627951619,4,6.687748190057025e-05,3.5639976e-05,3.168454e-05,0.0,6.304658216860601e-05,3.6790603189729154e-05,2.6437533961143345e-05,0.0
720575940627951619,720575940627951619,5,4.395745854891197e-05,2.2337685e-05,2.2200682e-05,0.0,3.770445717536064e-05,1.938068817253225e-05,1.8541681129136123e-05,0.0
720575940625157680,720575940625157680,2,0.000443145254394,0.00016133941,0.0002818058,0.0,0.000211766528082,0.0001232490030815,8.851750317262486e-05,0.0
720575940625157680,720575940625157680,3,9.231834701495244e-05,5.2046285e-05,4.0272073e-05,0.0,3.728664160007611e-05,2.28177505050553e-05,1.4468892914010212e-05,0.0
720575940625157680,720575940625157680,4,6.083903915366548e-05,2.9542634e-05,3.3446595e-05,0.0,2.611797108937184e-05,1.5287052519852296e-05,1.147301918535959e-05,0.0
720575940625157680,720575940625157680,5,3.9838418200851086e-05,1.9743806e-05,2.124732e-05,0.0,1.878831962616205e-05,9.198074621963316e-06,9.838313417276368e-06,0.0
720575940604565350,720575940604565350,2,0.0006108172819949,0.00025010502,0.00036071218,0.0,0.0002357990015298,0.0001596896181581,7.610940519953147e-05,0.0
720575940604565350,720575940604565350,3,0.0001590091123944,7.975546e-05,7.9253674e-05,0.0,7.496680336771533e-05,3.6407327570486814e-05,3.855947215924971e-05,0.0
720575940604565350,720575940604565350,4,7.479681215582464e-05,3.7461083e-05,3.8429574e-05,0.0,2.968573109621416e-05,1.5235251339618117e-05,1.457860525988508e-05,0.0
720575940604565350,720575940604565350,5,4.526636661079591e-05,2.2710208e-05,2.3433437e-05,0.0,1.9475178812585052e-05,9.421883078175595e-06,1.017714021145366e-05,0.0
720575940611980207,720575940611980207,2,0.0014817749615758,0.00024042677,0.0012413481,0.0,0.0005346137913875,6.398090772563592e-05,0.000470632861834,0.0
720575940611980207,720575940611980207,3,0.0001393208804074,7.747451e-05,6.184638e-05,0.0,2.8463782655308023e-05,1.970916855498217e-05,8.754614100325853e-06,0.0
720575940611980207,720575940611980207,4,5.307188925734983e-05,3.5599467e-05,2.5976191e-05,0.0,1.0778237858664616e-05,5.441341272671707e-06,5.857923497387674e-06,0.0
720575940611980207,720575940611980207,5,2.282014958075241e-05,1.2171706e-05,1.2763711e-05,0.0,4.563221663142376e-06,2.352086994505953e-06,2.39391465584049e-06,0.0
720575940624402173,720575940624402173,2,0.0032128363382071,0.0011652999,0.0020475348,0.0009873518720269,0.0020639800932258,0.0007547628483735,0.0013092175358906,0.0006823763251304
720575940624402173,720575940624402173,3,0.0022611203603446,0.0006998722,0.0015612475,0.0002459201787132,0.0021603219211101,0.0004456079332157,0.0017147120088338,0.0001340426533715
720575940624402173,720575940624402173,4,0.0012217797030362,0.00053669093,0.00070474664,7.228473782735557e-05,0.0008491875500241,0.0003202997613698,0.0005340500501915,3.966164960908085e-05
720575940624402173,720575940624402173,5,0.0008864245418715,0.00045460707,0.0004614602,2.297341170397104e-05,0.000516989492289,0.0002569432253949,0.0002729140687733,1.1389197492480044e-05
720575940617073876,720575940617073876,2,0.0027121929451823,0.00078835443,0.0019238389,0.0003565841761883,2.0598172341124155e-05,2.0598172341124155e-05,0.0,2.0598172341124155e-05
720575940617073876,720575940617073876,3,0.0003476426936686,0.00016450128,0.00018314147,1.741927735565696e-05,1.396411516907392e-05,3.3034043553925585e-06,1.066070944943931e-05,2.8152333015896147e-06
720575940617073876,720575940617073876,4,0.0001876060684149,0.00013490708,7.199199e-05,2.53145906092841e-06,7.405858443779553e-06,3.24006373375596e-06,4.258390163158765e-06,2.202733205305321e-07
720575940617073876,720575940617073876,5,8.811247626129817e-05,4.869877e-05,4.690006e-05,6.365446692315567e-07,5.345502147186563e-06,2.5568815544829704e-06,2.823802333296044e-06,1.1162778783319225e-07
720575940627351887,720575940627351887,2,0.0007864267099648,0.0004775059,0.00030892092,0.0,0.0002303835499333,0.0001753317046677,5.505183798959479e-05,0.0
720575940627351887,720575940627351887,3,0.0002615241683088,0.00014770593,0.000113818234,0.0,7.405440555885434e-05,2.96255911962362e-05,4.4428827095543966e-05,0.0
720575940627351887,720575940627351887,4,9.39361693414434e-05,4.7669004e-05,4.8794293e-05,0.0,2.890589869869475e-05,1.7201053196913563e-05,1.2030694051645696e-05,0.0
720575940627351887,720575940627351887,5,5.049639745651637e-05,2.6189453e-05,2.6767299e-05,0.0,1.0824243188030687e-05,5.255515588942217e-06,5.829511792398989e-06,0.0
720575940626277382,720575940626277382,2,0.0025301615241914,0.0025106184,1.9543968e-05,0.0024577269796282,1.2930247066833545e-05,0.0,1.2930247066833545e-05,0.0
720575940626277382,720575940626277382,3,0.0005757571780122,0.0005454954,3.0261705e-05,0.000515739666298,2.057157189483405e-06,6.0913151855857e-07,1.4480256140814165e-06,0.0
720575940626277382,720575940626277382,4,0.0002905461058952,0.00027297888,3.1768686e-05,0.0002322473871633,1.7919827305182692e-06,1.5673512052671867e-06,1.5135867670323933e-06,1.2718602171446491e-08
720575940626277382,720575940626277382,5,0.0001691920880739,0.00015036276,2.860323e-05,0.0001186085124911,4.908999573870395e-07,3.406469488709263e-07,3.289594587840839e-07,1.7266600593757175e-08
720575940606680706,720575940606680706,2,0.0053415517322719,0.0052686627,7.288951e-05,0.0048122494481503,2.242024856968783e-05,0.0,2.242024856968783e-05,0.0
720575940606680706,720575940606680706,3,0.0020915616769343,0.0019915057,0.00010005512,0.0016123423120006,3.898788236256223e-06,1.126979555010621e-06,2.771808340185089e-06,0.0
720575940606680706,720575940606680706,4,0.0012991629285019,0.0012476813,0.000105587096,0.0008561098328848,6.9413173470765255e-06,7.642969649168663e-06,1.533319846203085e-06,6.872580797789851e-07
720575940606680706,720575940606680706,5,0.0008339577354173,0.0007891406,9.952353e-05,0.0004618548528481,3.209139161648881e-06,2.2529268335347297e-06,1.4639743994848686e-06,9.242172893664249e-08
720575940651329526,720575940651329526,2,0.0003579486219678,0.00023256397,0.00012538463,0.0,2.205266127930372e-06,0.0,2.205266127930372e-06,0.0
720575940651329526,720575940651329526,3,8.930794865591452e-05,5.152102e-05,3.7786936e-05,0.0,9.570751899445897e-06,1.0737503544078209e-06,8.497001545038074e-06,0.0
720575940651329526,720575940651329526,4,3.938800035538435e-05,1.9241339e-05,2.0747155e-05,0.0,1.6055153003444796e-06,8.031238962757925e-07,8.046883976930985e-07,0.0
720575940651329526,720575940651329526,5,2.0234220551064187e-05,1.02362455e-05,1.0424206e-05,0.0,8.759562593341232e-07,4.131690616304695e-07,4.748601440951461e-07,0.0
720575940608772821,720575940608772821,2,0.0025864969938993,0.0025620668,2.4430716e-05,0.0025022609625011,1.4958373867557384e-05,0.0,1.4958373867557384e-05,0.0
720575940608772821,720575940608772821,3,0.000590399664361,0.0005578791,3.2520722e-05,0.0005239715683273,1.4682927940157242e-06,1.1006959539372474e-06,3.675968400784768e-07,0.0
720575940608772821,720575940608772821,4,0.0003214939999663,0.00030210076,3.406097e-05,0.0002569529148586,5.88690353210281e-07,1.9047172372665957e-06,1.7510282646071573e-07,3.7849158474045914e-08
720575940608772821,720575940608772821,5,0.0001953040466579,0.00017387242,3.142935e-05,0.0001376851768151,3.54415576318909e-07,2.0296309344303157e-07,3.614375998495234e-07,1.87556299380276e-08
720575940615958203,720575940615958203,2,0.0008074769284576,0.0007292037,7.827328e-05,0.0007288518245331,2.4483764718752354e-05,1.839919059420936e-05,6.084574124542996e-06,1.7466414647060446e-05
720575940615958203,720575940615958203,3,0.0001786250795703,0.00010611857,7.250642e-05,8.546801109332591e-05,1.848553802119568e-05,3.9245528569153976e-06,1.456098380003823e-05,1.0294232879459742e-06
720575940615958203,720575940615958203,4,0.0001601263901116,3.0526113e-05,0.00013505564,8.883192458193611e-06,5.828577720373541e-06,3.6227734199201214e-06,2.247662678200868e-06,3.267240612516408e-07
720575940615958203,720575940615958203,5,3.596678188683153e-05,1.9254714e-05,2.6067051e-05,1.98606063073332e-06,1.5717468734159309e-06,8.46874399940134e-07,7.509210036005243e-07,6.670128962634779e-08
720575940626550504,720575940626550504,2,0.0040112091228365,0.003915698,9.5511736e-05,0.0036977748386561,0.0001889663399197,0.0,0.0001889663399197,0.0
720575940626550504,720575940626550504,3,0.0012643095105886,0.0011528822,0.000111427296,0.0009914149995893,8.620833796157967e-06,5.7635511439002585e-06,2.857282197510358e-06,0.0
720575940626550504,720575940626550504,4,0.0008098430452651,0.00073097507,0.000114008944,0.0005372169872871,1.463629544456319e-06,1.9451957996352576e-05,8.48815432163974e-07,2.3942831051115826e-10
720575940626550504,720575940626550504,5,0.0005513568729192,0.0004760889,0.00010680353,0.0003022146950228,1.6703974442792648e-06,1.4726522294949973e-06,2.078279067063704e-06,1.4813075210895477e-08
720575940625476964,720575940625476964,2,0.0049053691327571,0.004830071,7.529896e-05,0.004749366082251,0.0001292896049562,0.0,0.0001292896049562,0.0
720575940625476964,720575940625476964,3,0.0014699436724185,0.0013691838,0.000100759455,0.0012601675698533,1.1392463420634158e-05,6.041765118425246e-06,5.350699666450964e-06,0.0
720575940625476964,720575940625476964,4,0.0008515991172947,0.0007958835,0.00010327953,0.0006265325700483,1.4232458552783962e-06,1.3616505384561606e-05,6.950077136025357e-07,2.3358856515720556e-10
720575940625476964,720575940625476964,5,0.0005403112845253,0.00048321366,9.648544e-05,0.0003311455137575,1.3597817669994678e-06,1.3642819567394326e-06,1.833324176914175e-06,3.0972557851782774e-08
720575940617650481,720575940617650481,2,0.003912104293704,0.0038575856,5.4519594e-05,0.0037516693118959,0.0001840581244323,0.0,0.0001840581244323,0.0
720575940617650481,720575940617650481,3,0.00134578126017,0.0012567753,8.900573e-05,0.0011147608747705,1.2105801943107508e-05,9.040812983585056e-06,3.064989869017154e-06,0.0
720575940617650481,720575940617650481,4,0.0008831373367708,0.0008159678,9.890958e-05,0.0006287039453838,5.990315123323393e-06,2.305620546394493e-05,1.282030098082032e-06,0.0
720575940617650481,720575940617650481,5,0.0006040810433926,0.00053891685,9.5718664e-05,0.0003644364784862,2.0111169924020297e-06,1.6892093981368816e-06,2.5006122541526565e-06,3.6292133742676924e-09
720575940637222470,720575940637222470,2,0.0042946552857756,0.0042172507,7.740519e-05,0.0040429197251796,9.595342999091372e-05,0.0,9.595342999091372e-05,0.0
720575940637222470,720575940637222470,3,0.0014158067060634,0.0013163866,9.941998e-05,0.0011435891501605,4.927120244246908e-06,3.6714095585921314e-06,1.255710344594263e-06,0.0
720575940637222470,720575940637222470,4,0.0008690097114655,0.00080598507,0.000100846075,0.0006012841488596,5.035384557684428e-06,1.4135177480056882e-05,4.653441578739148e-07,0.0
720575940637222470,720575940637222470,5,0.0005728133634415,0.00051459693,9.3225375e-05,0.0003341011067828,1.146844104774647e-06,8.061813332460588e-07,1.3512612895283382e-06,1.7198978241594887e-08
720575940605282406,720575940605282406,2,0.0034922442864626,0.0031124535,0.0003797912,0.0031124535016715,0.0,0.0,0.0,0.0
720575940605282406,720575940605282406,3,0.0003998966421931,0.0002878214,0.000112075286,0.000240564069827,1.5304010958061554e-05,1.014722238323884e-05,5.156788574822713e-06,8.2347742136335e-06
720575940605282406,720575940605282406,4,0.00015712045634,0.00011434841,6.702881e-05,4.470556522133353e-05,1.0998702236975078e-05,4.771299700223608e-06,6.227401172509417e-06,9.785968586584204e-07
720575940605282406,720575940605282406,5,8.232874034912031e-05,5.0114562e-05,4.1678315e-05,1.0954622637657386e-05,3.163095965188918e-06,1.6288084907500888e-06,1.6604701613687212e-06,1.9206998133869918e-07
720575940644726432,720575940644726432,2,0.0008123929146677,0.0005006815,0.00031171128,0.0005005414714105,0.0,0.0,0.0,0.0
720575940644726432,720575940644726432,3,0.000194152657059,7.7739605e-05,0.000116412964,2.7789161322289143e-05,0.0,0.0,0.0,0.0
720575940644726432,720575940644726432,4,0.0001415662194797,6.832734e-05,8.830746e-05,7.060794296082695e-06,0.0,0.0,0.0,0.0
