bodyId,cell_type,side,idx
5813052205,LHAD1b2_c,right,21321
5813052909,MBON29,left,21322
5813053669,SMP016_a,right,21323
5813053685,hDeltaF,noside,21324
5813053688,SMP455,left,21325
5813053698,AVLP546,right,21326
5813053712,IB017,left,21327
5813053728,CL210_a,right,21328
5813053731,AVLP023,right,21329
5813053760,CL058,right,21330
5813053783,PLP153,right,21331
5813053805,AVLP494,right,21332
5813053821,KCg-m,right,21333
5813053831,SMP306,right,21334
5813053836,AVLP434_b,right,21335
5813053846,FB4H,left,21336
5813053851,FB5W,right,21337
5813053860,PVLP151,left,21338
5813053863,AVLP321,right,21339
5813053866,ER4m,right,21340
5813053875,PS196,left,21341
5813053878,KCg-m,right,21342
5813053885,KCg-m,right,21343
5813053886,KCg-m,right,21344
5813053888,KCg-m,right,21345
5813053891,LAL177,right,21346
5813053907,PLP075,right,21347
5813053923,LAL047,right,21348
5813053935,KCg-m,right,21349
5813053937,KCg-m,right,21350
5813053957,PLP228,right,21351
5813053966,AVLP324,right,21352
5813053983,ER3w_b,right,21353
5813053988,ER3w_a,right,21354
5813053990,PS029,right,21355
5813054019,WEDPN8A,right,21356
5813054032,LC9,noside,21357
5813054053,OA-ASM3,right,21358
5813054061,DM2_lPN,left,21359
5813054063,LC24,noside,21360
5813054077,AVLP416,right,21361
5813054079,CRE039,left,21362
5813054085,KCg-m,right,21363
5813054086,KCg-m,right,21364
5813054096,PS155,right,21365
5813054104,PLP198,right,21366
5813054141,PLP029,right,21367
5813054145,PS175,right,21368
5813054169,PLP182,right,21369
5813054173,vDeltaB,noside,21370
5813054186,PS033,right,21371
5813054204,PS119,right,21372
5813054304,PLP068,right,21373
5813054307,WED045,right,21374
5813054317,AVLP107,right,21375
5813054342,KCab-s,right,21376
5813054343,KCab-s,right,21377
5813054347,PVLP137,right,21378
5813054376,AVLP259,right,21379
5813054384,PPM1203,right,21380
5813054421,AVLP026,right,21381
5813054443,LT63,right,21382
5813054454,VES022,right,21383
5813054477,LC21,noside,21384
5813054498,DNp17,right,21385
5813054534,LC36,right,21386
5813054566,PS296,right,21387
5813054613,WED020_a,right,21388
5813054622,lLN1_b,right,21389
5813054643,KCab-m,right,21390
5813054649,WED063_b,right,21391
5813054659,CRE039,right,21392
5813054675,PS077,right,21393
5813054697,VA1v_adPN,right,21394
5813054710,ORN_DM1,right,21395
5813054716,v2LN36,right,21396
5813054719,ORN_VA1v,noside,21397
5813054725,lLN1_b,right,21398
5813054726,lLN2T_a,right,21399
5813054729,ORN_DA1,right,21400
5813054736,PS262,right,21401
