pre,post,plen,threshold_0,threshold_0.001,threshold_0.01,threshold_0.03,threshold_0.05,threshold_0.1
AN_GNG_125,SLP286b,4,False,False,False,False,False,False
AN_GNG_125,SLP286b,5,False,False,False,False,False,False
AN_GNG_125,AVLP019,2,False,False,False,False,False,False
AN_GNG_125,AVLP019,3,False,False,False,False,False,False
AN_GNG_125,AVLP019,4,False,False,False,False,False,False
AN_GNG_125,AVLP019,5,False,False,False,False,False,False
AN_GNG_125,CB2383,2,False,False,False,False,False,False
AN_GNG_125,CB2383,3,False,False,False,False,False,False
AN_GNG_125,CB2383,4,False,False,False,False,False,False
AN_GNG_125,CB2383,5,False,False,False,False,False,False
AN_GNG_125,LHAV4b1,2,False,False,False,False,False,False
AN_GNG_125,LHAV4b1,3,False,False,False,False,False,False
AN_GNG_125,LHAV4b1,4,False,False,False,False,False,False
AN_GNG_125,LHAV4b1,5,False,False,False,False,False,False
AN_GNG_125,MTe45,2,False,False,False,False,False,False
AN_GNG_125,MTe45,3,False,False,False,False,False,False
AN_GNG_125,MTe45,4,False,False,False,False,False,False
AN_GNG_125,MTe45,5,False,False,False,False,False,False
AN_GNG_125,SMP152,2,False,False,False,False,False,False
AN_GNG_125,SMP152,3,False,False,False,False,False,False
AN_GNG_125,SMP152,4,False,False,False,False,False,False
AN_GNG_125,SMP152,5,False,False,False,False,False,False
AN_GNG_125,SAD009,2,False,False,False,False,False,False
AN_GNG_125,SAD009,3,False,False,False,False,False,False
AN_GNG_125,SAD009,4,False,False,False,False,False,False
AN_GNG_125,SAD009,5,False,False,False,False,False,False
AN_GNG_125,LHPV6c1,2,False,False,False,False,False,False
AN_GNG_125,LHPV6c1,3,False,False,False,False,False,False
AN_GNG_125,LHPV6c1,4,False,False,False,False,False,False
AN_GNG_125,LHPV6c1,5,False,False,False,False,False,False
AN_GNG_125,LHAV2g1b,2,False,False,False,False,False,False
AN_GNG_125,LHAV2g1b,3,False,False,False,False,False,False
AN_GNG_125,LHAV2g1b,4,False,False,False,False,False,False
AN_GNG_125,LHAV2g1b,5,False,False,False,False,False,False
