,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,ito_lee_hemilineage,hartenstein_hemilineage,idx,sign,coords
4106,720575940626930186,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,79501,1,
4107,720575940629261159,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,93020,1,
4108,720575940618071828,LC12,left,acetylcholine,visual_projection,,,,,33582,1,
4109,720575940618304670,CB1824,right,gaba,central,ALLN,,ALl1_dorsal,BAlc_dorsal,34684,-1,
4110,720575940626901136,DNg40,left,glutamate,descending,,,MX3,MX3,79326,-1,
4111,720575940635280495,"CL228,SMP491",left,serotonin,central,,,DM1_dorsal,DPMm1_dorsal,117869,1,
4112,720575940620494897,LHPV5c3,left,acetylcholine,central,,,DL1_dorsal,CP2_dorsal,43906,1,
4113,720575940623400189,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,60741,1,
4114,720575940614026193,MBON14,right,acetylcholine,central,MBON,,FLAa2,BAmas1,19168,1,
4115,720575940634845029,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,116613,1,
4116,720575940608616131,SMP375,left,acetylcholine,central,,,DM4_dorsal,CM4_dorsal,6231,1,
4117,720575940644974644,KCapbp-ap1,left,acetylcholine,central,Kenyon_Cell,,MBp1,MBp1,134233,1,
4118,720575940618093497,LC15,right,acetylcholine,visual_projection,,,,,33692,1,
4119,720575940633772257,CB0754,right,gaba,central,,,putative_primary,putative_primary,113912,-1,
4120,720575940627988306,LC10b,left,acetylcholine,visual_projection,,,VPNd2,,85889,1,
4121,720575940627235594,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,81495,1,
4122,720575940622229825,CB1825,right,acetylcholine,central,,,LB19,LB19,54072,1,
4123,720575940627253604,VES041,left,gaba,central,,,putative_primary,putative_primary,81601,-1,
4124,720575940619375701,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,38973,1,
4125,720575940627211307,KCapbp-ap2,left,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,81335,1,
4126,720575940623542712,CB1826,left,gaba,central,,,MD3,MD3,61610,-1,
4127,720575940636447630,KCab,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,120727,1,
4128,720575940628238217,CB0147,right,acetylcholine,central,,,putative_primary,putative_primary,87344,1,
4129,720575940630521145,KCapbp-ap2,left,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,99400,1,
4130,720575940635655657,CB1487,right,acetylcholine,central,,,VLPl2_posterior,BLAv2_posterior,118858,1,
4131,720575940625825684,CB1827,left,acetylcholine,central,,,LALa1_posterior,BAlp2_posterior,73689,1,
4132,720575940637890650,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,124004,1,
4133,720575940604935340,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp2,MBp2,1112,1,
4134,720575940610567577,"FS1A,FS1B",right,acetylcholine,central,CX,columnar,DM2_CX_d1,DPMpm1_CX_d1,9455,1,
4135,720575940620642287,LC16,right,acetylcholine,visual_projection,,,VPNv2,,44750,1,
4136,720575940626146052,CB1828,right,acetylcholine,central,,,FLAa2,BAmas1,75349,1,
4137,720575940633166617,CB1765,left,gaba,central,,,VLPa2,DALv1,111841,-1,
4138,720575940626254076,PLP086b,left,gaba,central,,,VLPp&l1_anterior,DPLpv_anterior,75837,-1,
4139,720575940614602655,LC6,right,acetylcholine,visual_projection,,,VPNd3,,20942,1,
4140,720575940643417879,KCg-m,left,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,132761,1,
4141,720575940638469190,KCab,left,acetylcholine,central,Kenyon_Cell,,MBp3,MBp3,125287,1,
4142,720575940626487814,LAL087,right,glutamate,central,,,AOTUv3_ventral,DALcl1_ventral,76980,-1,
4143,720575940618284190,AOTUv4B_P02,left,acetylcholine,central,,,AOTUv4_dorsal,DALcl2_dorsal,34594,1,
4144,720575940626437148,CB1437,left,acetylcholine,central,,,LHa2,BLVa1,76760,1,
4145,720575940622466027,CB1829,left,acetylcholine,central,,,LB5,LB5,55420,1,
4146,720575940623679495,KCg-m,right,acetylcholine,central,Kenyon_Cell,,MBp4,MBp4,62277,1,
4147,720575940620148092,CB1830,right,gaba,central,,,LB3,LB3,42258,-1,
