idx,hitting_time,cell_group
599,1.0555389938501518,Tm3_right
600,1.0032415894961175,MeTu2a_right
601,4.580969289570535,FB6R_right
602,3.132271422894255,cLP02_left
603,4.786830940184837,DA4m_adPN_right
604,4.715413249651997,ORN_DL5_left
605,4.449732816560497,ENS5_left
606,4.423038723067868,AMMC028_right
607,4.103143636233815,CB2149_right
608,4.968491360692731,BM_InOm_left
609,3.416784131215998,PVLP090_right
610,2.960868712894835,CB3560_right
611,2.0485760345810924,LC12_right
612,3.6693348117262947,CB2438_left
613,2.0,T4a_right
614,2.0,T4a_left
615,2.4568132213464264,LC10a_left
616,4.608465767085307,CB1990_right
617,2.009819996462413,T3_right
618,4.224452724577335,SLP212a_left
619,3.128902389556876,SMP284a_left
620,4.197432604314899,CB1094_left
621,4.68975068140931,LHAV4a1_b_left
622,2.6411809997032667,LC11_left
623,4.659970554246657,KCab_left
624,4.775430868466835,VP5+VP3_l2PN_right
625,4.427825188889013,PEG_left
626,4.972498633892907,BM_InOm_left
627,2.975106761927835,Tlp1_right
628,1.013582706001872,Tm3_right
629,4.8339424519891665,DA1_lPN_right
630,2.0,T5b_right
631,3.353345297347148,CB2737_right
632,4.5096685079459515,M_lPNm11A_right
633,2.0,T5c_right
634,2.005209636127966,T5b_right
635,4.686125189468289,"VP5+_l2PN,VP5+VP2_l2PN_left"
636,2.002404503857903,T2a_right
637,4.393142736301909,M_spPN5t10_right
638,4.1662078425358775,CB2605_right
639,1.7686440576372506,Dm10_right
640,5.275574573764524,BM_Hau_left
641,2.593230713824838,Y11_right
642,2.5851643136984155,LC24_left
643,3.873983702077668,CB3660_left
644,2.001707891843702,T5b_right
645,1.0,Mi1_left
646,4.760468488822749,VA3_adPN_left
647,2.0,T5a_right
648,3.893595155190337,CB0340_left
649,4.025032954487017,KCab-p_left
650,2.0,T4b_right
651,1.4661139388093374,Dm3p_right
652,2.0,T4d_right
653,1.6614450954975206,TmY3_right
654,1.0,Tm1_left
655,1.9252210544082176,T2_left
656,4.769263482946194,ORN_DM5_right
657,4.4211792956304565,FB2I_a_left
658,3.4455422825559285,CB1090_left
659,4.567135874816827,CB1089_left
660,1.0,Mi15_right
661,3.461785555227477,CB3034_left
662,4.49448118886072,FB5H_right
663,1.0,Dm15_left
664,1.0200035353446526,Tm3_left
665,2.9476373696149887,Tlp1_right
666,3.7444850323581784,AOTU039_left
667,3.6778613719313045,PS213_left
668,3.3908994422364485,CB1989_left
669,2.0,T5c_right
670,4.116543325796208,CB0593_right
671,3.9611760717945037,CB1618_left
672,4.908631496182879,CB1488_left
673,4.719287962851244,KCab_left
674,1.005849268445463,Tm4_left
675,1.0,Mi1_left
676,3.9945793560096883,CB0626_right
677,4.225807998571447,DNg63_right
678,4.083212189940697,SMP591_right
679,4.284456021862662,"LAL104,LAL105_right"
680,2.0,T4a_right
681,1.0,C3_right
682,3.822100880624531,PS005_right
683,2.0029928256258733,T4b_left
684,4.275047791719918,KCg-m_right
685,4.226458882516952,PAM08_left
