,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
80043,720575940632901191,C3,right,gaba,optic,ME>LA,,38411,-1
80044,720575940638903605,T3,right,acetylcholine,optic,ME>LO,,43838,1
80045,720575940616556561,T4c,right,acetylcholine,optic,ME>LOP,,9444,1
80046,720575940635619263,Tm3,right,acetylcholine,optic,ME>LO,,41166,1
80049,720575940612741799,T4a,right,acetylcholine,optic,ME>LOP,,5085,1
80050,720575940624280906,T5c,right,acetylcholine,optic,LO>LOP,,22765,1
80051,720575940623237002,720575940623237002,right,acetylcholine,optic,ME,,20709,1
80052,720575940622094377,T4c,right,acetylcholine,optic,ME>LOP,,18427,1
80054,720575940617189237,Mi10,right,acetylcholine,optic,ME,,10237,1
80055,720575940618344738,T2a,right,acetylcholine,optic,ME>LO,,11968,1
80056,720575940624169001,C3,right,gaba,optic,ME>LA,,22526,-1
80057,720575940608943369,T2a,right,acetylcholine,optic,ME>LO,,2255,1
80058,720575940624461095,Mi13,right,gaba,optic,ME,,23129,-1
80059,720575940625822820,L2,right,acetylcholine,optic,LA>ME,L1-5,25388,1
80060,720575940613323030,Tm2,right,acetylcholine,optic,ME>LO,,5767,1
80061,720575940624698549,Dm3,right,glutamate,optic,ME,,23539,-1
80063,720575940640143744,T2a,right,acetylcholine,optic,ME>LO,,44813,1
80066,720575940633316633,T5a,right,acetylcholine,optic,LO>LOP,,38918,1
80067,720575940639404496,T5d,right,acetylcholine,optic,LO>LOP,,44200,1
80068,720575940618368216,T4c,right,acetylcholine,optic,ME>LOP,,12000,1
80070,720575940628906599,T2,right,acetylcholine,optic,ME>LO,,31600,1
80071,720575940615758130,T4d,right,acetylcholine,optic,ME>LOP,,8529,1
80072,720575940604391904,T3,right,acetylcholine,optic,ME>LO,,183,1
80073,720575940630539215,T3,right,acetylcholine,optic,ME>LO,,34377,1
80074,720575940616172405,Tm16,right,acetylcholine,optic,ME>LO,,8986,1
80076,720575940631501615,Tm1,right,acetylcholine,optic,ME>LO,,36153,1
80077,720575940653139190,Dm1,right,glutamate,optic,ME,,47971,-1
80078,720575940625977788,720575940625977788,right,glutamate,optic,ME,,25654,-1
80081,720575940636004215,Y3,right,acetylcholine,optic,LOP>ME.LO,,41515,1
80082,720575940624067592,T2,right,acetylcholine,optic,ME>LO,,22307,1
80083,720575940654526369,CB3851,right,acetylcholine,optic,ME>LO,,48073,1
80084,720575940635241908,Tm9,right,acetylcholine,optic,ME>LO,,40813,1
80085,720575940633954460,TmY20,right,acetylcholine,optic,LOP>LO,,39707,1
80086,720575940625830525,Tm6,right,acetylcholine,optic,ME>LO,,25404,1
80088,720575940608983235,Tm9,right,acetylcholine,optic,ME>LO,,2278,1
80089,720575940623222410,Tm6,right,acetylcholine,optic,ME>LO,,20687,1
80090,720575940626425541,T5d,right,acetylcholine,optic,LO>LOP,,26389,1
80091,720575940620237039,T5b,right,acetylcholine,optic,LO>LOP,,14594,1
80092,720575940643841844,Tm1,right,acetylcholine,optic,ME>LO,,46311,1
80093,720575940640356952,T4c,right,acetylcholine,optic,ME>LOP,,45000,1
80094,720575940621700385,Mi2,right,glutamate,optic,ME,,17620,-1
80095,720575940636931696,TmY18,right,acetylcholine,optic,ME>LO.LOP,,42252,1
80097,720575940637840218,C3,right,gaba,optic,ME>LA,,42981,-1
80098,720575940629552795,CB3856,right,gaba,optic,ME,,32663,-1
80101,720575940622997628,C3,right,gaba,optic,ME>LA,,20198,-1
80102,720575940626970387,T3,right,acetylcholine,optic,ME>LO,,27469,1
80104,720575940605429950,T2,right,acetylcholine,optic,ME>LO,,525,1
80106,720575940628693248,Tm1,right,acetylcholine,optic,ME>LO,,31190,1
80107,720575940620148416,T5d,right,acetylcholine,optic,LO>LOP,,14477,1
80108,720575940630541519,T5d,right,acetylcholine,optic,LO>LOP,,34387,1
80109,720575940615758898,TmY4,right,acetylcholine,optic,ME>LO.LOP,,8532,1
80110,720575940625432819,Tm1,right,acetylcholine,optic,ME>LO,,24755,1
