bodyId,hitting_time,cell_group
17132,2.742264932,LT74
17135,2.9606606,LPT114
17136,2.051884934,Pm3
17145,1.008531058,Dm4
17148,2.813949917,LC33
17149,1.898204501,Dm14
17151,2.050267848,Pm3
17167,1.86451923,Dm14
17172,2.000337782,Pm2b
17180,3.901846174,PS272
17185,2.015738079,Pm9
17202,2.000071002,Pm1
17207,2.000373907,Pm2a
17218,2.069079565,Pm8
17226,2.142880935,MeVP8
17235,1.005973256,Dm4
17239,2.00292518,Pm10
17245,1.886981926,Mi18
17256,2.141234905,MeLo11
17266,2.034928291,LC4
17267,2.18932293,MeLo11
17271,2.068062813,Pm3
17274,2.006483821,Pm9
17276,1.965220442,Dm18
17280,2.000290262,Li28
17289,2.001655638,Li29
17295,2.232324814,MeVP17
17301,1.997057391,Dm18
17302,2.297364152,LPLC4
17307,2.308141418,LPLC4
17329,2.21610875,MeVP21
17336,2.509759272,s-LNv
17345,1.01944614,Dm4
17354,1.993352384,Dm18
17364,2.03164137,LC4
17394,2.054603728,Pm3
17399,2.216550912,LC14b
17405,2.047346174,MeVP21
17418,2.000354337,Pm2a
17424,2.233021165,Li37
17429,2.68859869,MeVPMe5
17475,2.011432245,MeVP63
17515,2.02919638,LC23
17529,0,L2
17534,2.577412821,Li11b
17538,2.019009744,MeLo9
17541,1.937662039,Dm14
17548,2.065169989,LC4
17551,2.174915417,LPLC2
17576,2.00109187,Li17
17586,2.702969494,MeLo10
17595,2.104281459,MeLo14
17598,2.058461865,TmY14
17599,2.000326266,Pm2b
17605,2.676247472,LPT31
17610,2.121079371,LoVP18
17611,2.38101921,LoVC17
17627,2.058602419,Pm3
17632,2.30475796,MeVP17
17636,1.011316017,Dm4
17646,2.074140941,Pm3
17647,2.286108558,MeVP17
17656,2.494918703,MeLo10
17658,2.151419447,MeLo14
17663,2.07195359,Pm8
17664,2.000272554,Pm2b
17668,2.039316823,LC4
17677,2.235255438,LPLC4
17686,2.006360016,Pm9
17694,2.028348341,Mi18
17699,2.029569075,TmY19a
17721,0,R7y
17755,2.000291767,Pm7
17779,0,L2
17786,2.642755102,LoVP92
17799,1.987088201,Dm18
17806,1.007594662,Dm4
17831,2.25878822,LPLC4
17834,2.014741029,MeLo9
17856,2.015809464,MeLo9
17860,2.033538186,LC4
17861,2.074547975,Pm8
17864,2.72004633,MeLo10
17870,1.996190023,Mi20
17871,1,Mi1
17879,2.559516612,MeLo10
17883,2.313690871,MeVP17
17884,1.967981195,TmY19a
17891,0,L2
17892,1.837521201,Mi18
17913,1.005910474,Dm4
17926,2.055343846,LC4
17942,2.346296718,MeVP7
17944,2.076461942,TmY14
17945,2.452272716,LLPC4
17947,2.000173279,Dm13
17951,2.012412386,Pm9
17954,2.000355559,Pm7
17961,2.984482069,LPT115
17966,2.009875894,Pm9
17975,2.016130428,MeLo9
17978,2.226832968,LoVP60
17985,2.43060917,LoVP92
17987,2.058302646,LC4
17999,1.005306566,Dm4
18001,2.312401363,LoVP39
18006,1.005709709,Dm4
18009,2.084149893,CL125
18029,1.244885476,MeLo1
18042,2.000293297,Pm2b
18077,2.083993572,TmY19a
18079,2.324574555,LPLC4
18088,2.006245742,Pm9
18118,1.952396603,Mi18
18123,2.064925544,Pm8
18127,2.041796818,LC4
18132,2.044985685,TmY14
18158,2.064944855,TmY14
18162,2.051951604,Pm3
18176,2.053954936,TmY14
18180,2.061760183,Pm8
18189,2.074087406,LC4
18191,2.062339967,Pm3
18194,2.980455208,LPT116
18201,2.186604436,LC23
18207,2.107445659,MeLo14
18216,2.000204709,Dm13
18226,2.000644736,Pm6
18227,2.312593536,LoVP39
18228,2.000178142,Dm13
18230,3.000199691,PVLP046
18243,0,L2
18244,2.51381441,MeVP61
18246,2.408185395,LoVP32
18251,0,L1
18261,2.544869546,MeVPMe9
18266,1.97171021,aMe4
18282,2.295380439,LPLC4
18284,0,L1
18300,2.000293673,Pm2b
18308,2.048963999,TmY14
18311,2.045100146,aMe5
18314,2.197571421,LPLC4
18315,2.065297173,MeVP40
18318,2.063059245,TmY14
18319,2.029434571,TmY19b
18322,2.050881762,Cm28
18326,2.044091822,CL125
18330,2.063144722,Pm3
18336,2.131682931,MeLo11
18344,2.000316875,Pm2b
18350,3.00638458,PVLP046
18352,2.058144368,TmY14
18363,2.610241752,Dm8a
18372,1.97314716,aMe4
18383,2.184397064,LC14a-1
18384,2.336924701,LPLC4
18391,1.942649875,Dm18
18395,2.08208749,MeLo14
18407,1.936612164,Dm14
18410,2.000284816,Pm2b
18412,1.019941137,Dm4
18420,2.721050829,LoVP18
18428,2.140834086,TmY19b
18452,2.326224013,LOLP1
18454,2.000258472,Pm2b
18456,2.014024507,Pm9
18462,2.150708598,aMe5
18464,2.11418366,LoVP18
18467,1.003652806,Dm4
18470,2.070179765,Pm3
18496,2.064555575,Pm8
18507,2.857773911,LoVP70
18509,0,L2
18523,2.023643236,TmY15
18530,1.007670241,Dm4
18531,2.895901816,PVLP046
18540,2.043158387,KCg-s1
18541,1.018142934,Dm4
18544,2.51933537,MeVPMe9
18564,2.078375373,Pm8
18579,2.13469601,MeVP8
18588,2.000820338,Pm6
18595,2.00082141,Dm18
18605,2.297954131,LPLC4
18614,2.037155824,Cm21
18618,2.058725691,Pm3
18629,2.008609617,MeLo9
18630,2.553352154,LoVP99
18631,2.350619084,LPLC4
18632,2.3479622,LC23
18635,2.257746295,LoVP92
18653,0,L2
18661,2.275274629,LPLC4
18669,2.012573329,MeLo9
18672,2.196563821,LPLC2
18673,2.410453022,LT77
18675,0,L2
18676,2.020015887,TmY15
18682,0,L2
18683,2.437938308,LoVP44
18686,2.154407033,MeVPMe9
18689,1.982890479,TmY19a
18691,2.002562684,Pm10
18700,2.000378205,Pm2a
18701,2.416132182,MeVP8
18710,2.134429402,LPLC1
18712,1.996628636,Dm18
18735,2.073118264,TmY14
18740,2.000317573,Pm7
18742,2.319437924,LPLC1
18743,2.001024551,Dm18
18746,2.311993748,LPLC4
18748,2.052397361,Pm3
18750,2.013494382,MeLo9
18763,2.095100847,TmY14
18771,2.000322984,Pm2b
18774,2.213391846,LT54
18781,2.051280968,SLP249
18809,2.300184185,LPLC4
18818,2.000090961,Pm1
18819,2.089407222,MeLo14
18833,1.004713962,Dm4
18852,0,L2
18858,1.037764393,Dm20
18879,2.518434888,LC14a-2
18883,2.757483068,LPT31
18895,2.317340204,LPLC4
18915,1.902000699,Dm1
18927,0,L2
18929,2.240790614,LPLC2
18931,2.095636935,TmY19b
18942,2.829383216,LT59
18943,2.229236586,LPLC4
18944,2.07139433,TmY14
18950,2.000270918,Pm2b
18953,1.911011946,Dm1
18961,2.411860413,MeVPMe9
18963,1.972036189,Dm18
18970,2.137486736,LPLC4
18985,1.917426457,Dm1
18991,3.024896922,PLP021
19003,2.05552082,Pm8
19005,2.132620357,Cm19
19006,2.013399031,TmY19a
19022,2.062881836,Pm3
19034,2.31136888,LPLC2
19050,2.321997458,LPLC4
19056,0,L2
19061,2.255056485,PLP231
19070,2.043081765,Pm3
19076,2.048812201,Pm3
19078,2.097368153,Cm19
19093,2.11407249,TmY14
19099,2.000300069,Pm7
19110,1.826053054,Mi18
