,root_id,cell_type,side,top_nt,super_class,cell_class,cell_sub_class,idx,sign
131315,720575940616375199,R1-6,left,acetylcholine,sensory,visual,,9205,1
131316,720575940624966581,R1-6,left,acetylcholine,sensory,visual,,24206,1
131319,720575940617007922,R1-6,left,acetylcholine,sensory,visual,,9947,1
131322,720575940622185332,R1-6,left,acetylcholine,sensory,visual,,18484,1
131329,720575940616666310,R1-6,left,acetylcholine,sensory,visual,,9569,1
131330,720575940633394340,R1-6,left,acetylcholine,sensory,visual,,39630,1
131331,720575940661138305,R1-6,left,acetylcholine,sensory,visual,,49110,1
131333,720575940624740279,R1-6,left,acetylcholine,sensory,visual,,23687,1
131334,720575940635686810,R1-6,left,acetylcholine,sensory,visual,,41821,1
131335,720575940630925868,R1-6,left,acetylcholine,sensory,visual,,35514,1
131336,720575940621952577,R1-6,left,acetylcholine,sensory,visual,,17959,1
131338,720575940620767317,R1-6,left,acetylcholine,sensory,visual,,15518,1
131339,720575940624175754,R1-6,left,acetylcholine,sensory,visual,,22619,1
131340,720575940636044907,R1-6,left,acetylcholine,sensory,visual,,42162,1
131341,720575940653280758,R1-6,left,acetylcholine,sensory,visual,,48685,1
131342,720575940626774986,R1-6,left,acetylcholine,sensory,visual,,27384,1
131344,720575940613012659,R1-6,left,acetylcholine,sensory,visual,,5301,1
131345,720575940619760438,R1-6,left,acetylcholine,sensory,visual,,13846,1
131346,720575940635689114,R1-6,left,acetylcholine,sensory,visual,,41824,1
131347,720575940627767070,R1-6,left,acetylcholine,sensory,visual,,29447,1
131348,720575940615346430,R1-6,left,acetylcholine,sensory,visual,,7937,1
131349,720575940617551190,R1-6,left,acetylcholine,sensory,visual,,10566,1
131350,720575940624600298,R1-6,left,acetylcholine,sensory,visual,,23472,1
131351,720575940628540177,R1-6,left,acetylcholine,sensory,visual,,31111,1
131352,720575940632022991,R1-6,left,acetylcholine,sensory,visual,,37428,1
131353,720575940627004858,R1-6,left,acetylcholine,sensory,visual,,27841,1
131354,720575940630560638,R1-6,left,acetylcholine,sensory,visual,,34777,1
131355,720575940632923207,R1-6,left,acetylcholine,sensory,visual,,38994,1
131359,720575940627932553,R1-6,left,acetylcholine,sensory,visual,,29826,1
131360,720575940634402785,R1-6,left,acetylcholine,sensory,visual,,40586,1
131366,720575940636780399,R1-6,left,acetylcholine,sensory,visual,,42730,1
131367,720575940615853162,R1-6,left,acetylcholine,sensory,visual,,8542,1
131368,720575940622862874,R1-6,left,acetylcholine,sensory,visual,,19858,1
131369,720575940619070021,R1-6,left,acetylcholine,sensory,visual,,13008,1
131370,720575940630934828,R1-6,left,acetylcholine,sensory,visual,,35530,1
131371,720575940613775474,R1-6,left,acetylcholine,sensory,visual,,6179,1
131372,720575940623827555,R1-6,left,acetylcholine,sensory,visual,,21871,1
131373,720575940610378691,R1-6,left,acetylcholine,sensory,visual,,2993,1
131374,720575940633553060,R1-6,left,acetylcholine,sensory,visual,,39800,1
131375,720575940622381940,R1-6,left,acetylcholine,sensory,visual,,18943,1
131379,720575940610757204,R1-6,left,acetylcholine,sensory,visual,,3184,1
131380,720575940613225957,R1-6,left,acetylcholine,sensory,visual,,5538,1
131381,720575940632944431,R1-6,left,acetylcholine,sensory,visual,,39026,1
131384,720575940624103935,R1-6,left,acetylcholine,sensory,visual,,22474,1
131386,720575940647327267,R1-6,left,acetylcholine,sensory,visual,,48050,1
131400,720575940624173450,R1-6,left,acetylcholine,sensory,visual,,22614,1
131401,720575940628952519,R1-6,left,acetylcholine,sensory,visual,,31938,1
131402,720575940620667728,R1-6,left,acetylcholine,sensory,visual,,15288,1
131406,720575940623185996,R1-6,left,acetylcholine,sensory,visual,,20522,1
131407,720575940624114985,R1-6,left,acetylcholine,sensory,visual,,22506,1
131409,720575940625505428,R1-6,left,acetylcholine,sensory,visual,,25236,1
131410,720575940634821401,R1-6,left,acetylcholine,sensory,visual,,40912,1
131416,720575940631320694,R1-6,left,acetylcholine,sensory,visual,,36344,1
131426,720575940630329594,R1-6,left,acetylcholine,sensory,visual,,34374,1
131429,720575940629780739,R1-6,left,acetylcholine,sensory,visual,,33389,1
131442,720575940644489632,R1-6,left,acetylcholine,sensory,visual,,47055,1
131444,720575940618476322,R1-6,left,acetylcholine,sensory,visual,,12145,1
131445,720575940623193164,R1-6,left,acetylcholine,sensory,visual,,20546,1
131446,720575940621800801,R1-6,left,acetylcholine,sensory,visual,,17683,1
131450,720575940640625267,R1-6,left,acetylcholine,sensory,visual,,45857,1
131451,720575940612895962,R1-6,left,acetylcholine,sensory,visual,,5122,1
131452,720575940613031666,R1-6,left,acetylcholine,sensory,visual,,5319,1
131456,720575940647696180,R1-6,left,acetylcholine,sensory,visual,,48156,1
131458,720575940635541143,R1-6,left,acetylcholine,sensory,visual,,41648,1
131462,720575940628346511,R1-6,left,acetylcholine,sensory,visual,,30714,1
131463,720575940625566951,R1-6,left,acetylcholine,sensory,visual,,25315,1
131467,720575940618187101,R1-6,left,acetylcholine,sensory,visual,,11616,1
131470,720575940647693108,R1-6,left,acetylcholine,sensory,visual,,48154,1
131471,720575940613283481,R1-6,left,acetylcholine,sensory,visual,,5612,1
131472,720575940620851847,R1-6,left,acetylcholine,sensory,visual,,15676,1
131479,720575940609980629,R1-6,left,acetylcholine,sensory,visual,,2787,1
131482,720575940632912268,R1-6,left,acetylcholine,sensory,visual,,38976,1
131485,720575940622959130,R1-6,left,acetylcholine,sensory,visual,,20024,1
131486,720575940625376491,R1-6,left,acetylcholine,sensory,visual,,24993,1
131487,720575940637745582,R1-6,left,acetylcholine,sensory,visual,,43460,1
131488,720575940627832606,R1-6,left,acetylcholine,sensory,visual,,29580,1
131489,720575940619923323,R1-6,left,acetylcholine,sensory,visual,,14043,1
131490,720575940627833118,R1-6,left,acetylcholine,sensory,visual,,29582,1
131491,720575940624816637,R1-6,left,acetylcholine,sensory,visual,,23831,1
131492,720575940633722029,R1-6,left,acetylcholine,sensory,visual,,39975,1
131493,720575940624229779,R1-6,left,acetylcholine,sensory,visual,,22742,1
131494,720575940612955315,R1-6,left,acetylcholine,sensory,visual,,5203,1
131495,720575940611550584,R1-6,left,acetylcholine,sensory,visual,,3771,1
131497,720575940625615847,R1-6,left,acetylcholine,sensory,visual,,25392,1
131499,720575940609523209,R1-6,left,acetylcholine,sensory,visual,,2531,1
131504,720575940631040300,R1-6,left,acetylcholine,sensory,visual,,35762,1
131507,720575940615229950,R1-6,left,acetylcholine,sensory,visual,,7791,1
131509,720575940653252086,R1-6,left,acetylcholine,sensory,visual,,48680,1
131510,720575940625812007,R1-6,left,acetylcholine,sensory,visual,,25752,1
131511,720575940642304731,R1-6,left,acetylcholine,sensory,visual,,46536,1
131512,720575940611550328,R1-6,left,acetylcholine,sensory,visual,,3768,1
131513,720575940618835227,R1-6,left,acetylcholine,sensory,visual,,12637,1
131514,720575940638746601,R1-6,left,acetylcholine,sensory,visual,,44225,1
131515,720575940606368702,R1-6,left,acetylcholine,sensory,visual,,1011,1
131516,720575940625340908,R1-6,left,acetylcholine,sensory,visual,,24928,1
131517,720575940618076884,R1-6,left,acetylcholine,sensory,visual,,11408,1
131518,720575940624104330,R1-6,left,acetylcholine,sensory,visual,,22477,1
131519,720575940632649016,R1-6,left,acetylcholine,sensory,visual,,38518,1
131520,720575940617621643,R1-6,left,acetylcholine,sensory,visual,,10668,1
131524,720575940624703495,R1-6,left,acetylcholine,sensory,visual,,23621,1
131525,720575940644758216,R1-6,left,acetylcholine,sensory,visual,,47154,1
131526,720575940634551521,R1-6,left,acetylcholine,sensory,visual,,40691,1
131527,720575940629799440,R1-6,left,acetylcholine,sensory,visual,,33435,1
131528,720575940623517405,R1-6,left,acetylcholine,sensory,visual,,21262,1
131530,720575940622515184,R1-6,left,acetylcholine,sensory,visual,,19168,1
131534,720575940626109517,R1-6,left,acetylcholine,sensory,visual,,26264,1
131536,720575940631410171,R1-6,left,acetylcholine,sensory,visual,,36476,1
131538,720575940642298843,R1-6,left,acetylcholine,sensory,visual,,46534,1
131539,720575940650538617,R1-6,left,acetylcholine,sensory,visual,,48501,1
131542,720575940644756680,R1-6,left,acetylcholine,sensory,visual,,47153,1
131543,720575940599736492,R1-6,left,acetylcholine,sensory,visual,,0,1
131545,720575940605551584,R1-6,left,acetylcholine,sensory,visual,,466,1
131546,720575940626829263,R1-6,left,acetylcholine,sensory,visual,,27495,1
131547,720575940646186862,R1-6,left,acetylcholine,sensory,visual,,47738,1
131548,720575940632534851,R1-6,left,acetylcholine,sensory,visual,,38326,1
