,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
17828,20B.21B.22B,motor neuron,glutamate,T3,,MNhl06,Sternal posterior rotator MN,LHS,MNhl06_MetaLN_L,MNhl06_MetaLN_L,-1,10719
17829,,sensory neuron,acetylcholine,,RHS,SNpp52,SNpp52,,SNpp52_MetaLN_R,SNpp52_MetaLN_R,-1,11296
17832,23B,intrinsic neuron,acetylcholine,A1,,IN23B076,IN23B076,RHS,IN23B076_A1_R,IN23B076_A1_R,1,9415
17838,07B,intrinsic neuron,acetylcholine,T3,,IN07B033,IN07B033,LHS,IN07B033_T3_L,IN07B033_T3_L,1,4723
17839,10B,ascending neuron,acetylcholine,T2,LHS,AN10B033,AN10B033,RHS,AN10B033_T2_R,AN10B033_T2_R,1,811
17840,16B,motor neuron,glutamate,T2,,MNwm31,tp1 MN,RHS,MNwm31_ADMN_R,MNwm31_ADMN_R,-1,10984
17842,01A,intrinsic neuron,acetylcholine,T1,,IN01A085,IN01A085,LHS,IN01A085_T1_L,IN01A085_T1_L,1,2843
17843,16B,intrinsic neuron,glutamate,T3,,IN16B052,IN16B052,RHS,IN16B052_T3_R,IN16B052_T3_R,-1,7394
17844,10B,ascending neuron,acetylcholine,T1,LHS,AN10B020,AN10B020,RHS,AN10B020_T1_R,AN10B020_T1_R,1,777
17845,,descending neuron,acetylcholine,,RHS,DNfl008,DNg62,,DNfl008_CvC_R,DNfl008_CvC_R,1,1459
17847,03B,motor neuron,unknown,T1,,MNwm20,DLMn c-f,RHS,MNwm20_PDMNa_R,MNwm20_PDMNa_R,-1,10962
17850,TBD,motor neuron,unknown,A9,,MNad20,MNad20,RHS,MNad20_AbNT_R,MNad20_AbNT_R,-1,10508
17852,01A,ascending neuron,gaba,T1,BIL,AN01A086,AN01A086,LHS,AN01A086_T1_L,AN01A086_T1_L,-1,25
17855,01B,intrinsic neuron,gaba,T3,,IN01B034,IN01B034,LHS,IN01B034_T3_L,IN01B034_T3_L,-1,2968
17858,19B,ascending neuron,acetylcholine,T2,LHS,AN19B007,dMS9,RHS,AN19B007_T2_R,AN19B007_T2_R,1,1085
17859,05B,intrinsic neuron,gaba,A1,,IN05B014,IN05B014,RHS,IN05B014_A1_R,IN05B014_A1_R,-1,4074
17861,00A,intrinsic neuron,gaba,T1,,IN00A042,IN00A042,Midline,IN00A042_T1_M,IN00A042_T1_M,-1,2548
17864,05B,ascending neuron,gaba,T2,LHS,AN05B036,AN05B036,RHS,AN05B036_T2_R,AN05B036_T2_R,-1,158
17876,00B,efferent neuron,glutamate,A10,,EN00B016,EN00B016,Midline,EN00B016_A10_M,EN00B016_A10_M,-1,2413
17877,06A,motor neuron,glutamate,A5,,MNad19,MNad19,RHS,MNad19_AbN4_R,MNad19_AbN4_R,-1,10506
17882,,descending neuron,glutamate,,LHS,DNxn073,DNxn073,,DNxn073_CvC_L,DNxn073_CvC_L,-1,2151
17883,05B,ascending neuron,gaba,T3,LHS,AN05B005,AN05B005,RHS,AN05B005_T3_R,AN05B005_T3_R,-1,118
17884,,descending neuron,acetylcholine,,LHS,DNxn042,DNp28,,DNxn042_CvC_L,DNxn042_CvC_L,1,2092
17885,04B,intrinsic neuron,acetylcholine,T1,,IN04B115,IN04B115,RHS,IN04B115_T1_R,IN04B115_T1_R,1,4050
17887,,descending neuron,acetylcholine,,RHS,DNxl105,DNxl105,,DNxl105_CvC_R,DNxl105_CvC_R,1,1951
17890,TBD,intrinsic neuron,acetylcholine,A6,,INXXX032,INXXX032,RHS,INXXX032_A6_R,INXXX032_A6_R,1,9541
17894,,descending neuron,acetylcholine,,RHS,DNfl022,DNfl022,,DNfl022_CvC_R,DNfl022_CvC_R,1,1487
17897,18B,ascending neuron,acetylcholine,T3,LHS,AN18B019,AN18B019,RHS,AN18B019_T3_R,AN18B019_T3_R,1,1049
17900,11B,intrinsic neuron,gaba,T1,,IN11B009,IN11B009,LHS,IN11B009_T1_L,IN11B009_T1_L,-1,5762
17902,10B,ascending neuron,acetylcholine,T1,LHS,AN10B015,AN10B015,RHS,AN10B015_T1_R,AN10B015_T1_R,1,761
17905,11A,intrinsic neuron,acetylcholine,T2,,IN11A038,GFC3,RHS,IN11A038_T2_R,IN11A038_T2_R,1,5734
17907,,descending neuron,gaba,,RHS,DNxn059,DNg59,,DNxn059_CvC_R,DNxn059_CvC_R,-1,2124
17910,,descending neuron,acetylcholine,,LHS,DNxn063,DNg76,,DNxn063_CvC_L,DNxn063_CvC_L,1,2131
17913,,descending neuron,gaba,,RHS,DNxl013,DNg38,,DNxl013_CvC_R,DNxl013_CvC_R,-1,1769
17917,07B,intrinsic neuron,glutamate,T2,,IN07B104,IN07B104,LHS,IN07B104_T2_L,IN07B104_T2_L,-1,4821
17918,TBD,ascending neuron,acetylcholine,A1,RHS,ANXXX132,ANXXX132,LHS,ANXXX132_A1_L,ANXXX132_A1_L,1,1321
17919,05B,ascending neuron,gaba,T2,LHS,AN05B021,AN05B021,RHS,AN05B021_T2_R,AN05B021_T2_R,-1,136
17923,TBD,intrinsic neuron,gaba,A1,,INXXX340,INXXX340,LHS,INXXX340_A1_L,INXXX340_A1_L,-1,10080
17925,19A,intrinsic neuron,glutamate,T2,,IN19A135,IN19A135,RHS,IN19A135_T2_R,IN19A135_T2_R,-1,8316
17929,TBD,intrinsic neuron,gaba,A7,,INXXX332,INXXX332,RHS,INXXX332_A7_R,INXXX332_A7_R,-1,10065
17930,12B,intrinsic neuron,gaba,T2,,IN12B033,IN12B033,RHS,IN12B033_T2_R,IN12B033_T2_R,-1,6049
17931,21A,intrinsic neuron,glutamate,T3,,IN21A009,IN21A009,LHS,IN21A009_T3_L,IN21A009_T3_L,-1,8834
17935,TBD,intrinsic neuron,acetylcholine,A7,,INXXX149,INXXX149,RHS,INXXX149_A7_R,INXXX149_A7_R,1,9683
17936,06A,intrinsic neuron,gaba,T3,,IN06A021,IN06A021,LHS,IN06A021_T3_L,IN06A021_T3_L,-1,4225
17940,19A,intrinsic neuron,gaba,T2,,IN19A083,IN19A083,LHS,IN19A083_T2_L,IN19A083_T2_L,-1,8191
17941,10B,ascending neuron,acetylcholine,T3,LHS,AN10B046,AN10B046,RHS,AN10B046_T3_R,AN10B046_T3_R,1,847
17944,TBD,ascending neuron,acetylcholine,A8,RHS,ANXXX313,ANXXX313,LHS,ANXXX313_A8_L,ANXXX313_A8_L,1,1405
17945,06A,intrinsic neuron,gaba,A2,,IN06A117,IN06A117,RHS,IN06A117_A2_R,IN06A117_A2_R,-1,4431
17947,TBD,intrinsic neuron,gaba,A8,,INXXX263,INXXX263,RHS,INXXX263_A8_R,INXXX263_A8_R,-1,9879
17950,,descending neuron,acetylcholine,,LHS,DNit009,DNit009,,DNit009_CvC_L,DNit009_CvC_L,1,1550
17952,13B,intrinsic neuron,gaba,T1,,IN13B098,IN13B098,RHS,IN13B098_T1_R,IN13B098_T1_R,-1,6832
17953,13B,intrinsic neuron,gaba,T1,,IN13B021,IN13B021,RHS,IN13B021_T1_R,IN13B021_T1_R,-1,6554
17956,12B,intrinsic neuron,gaba,T1,RHS,IN12B060,IN12B060,LHS,IN12B060_T1_L,IN12B060_T1_L,-1,6148
17957,14B,intrinsic neuron,glutamate,T1,,IN14B014,IN14B014,RHS,IN14B014_T1_R,IN14B014_T1_R,-1,7286
17963,21A,intrinsic neuron,glutamate,T2,,IN21A044,IN21A044,LHS,IN21A044_T2_L,IN21A044_T2_L,-1,8979
17965,06A,ascending neuron,glutamate,T1,RHS,AN06A027,AN06A027,RHS,AN06A027_T1_R,AN06A027_T1_R,-1,278
17966,12B,intrinsic neuron,gaba,T1,,IN12B047,IN12B047,LHS,IN12B047_T1_L,IN12B047_T1_L,-1,6110
17967,,sensory neuron,glutamate,,RHS,SNpp56,SNpp56,,SNpp56_MesoLN_R,SNpp56_MesoLN_R,-1,11308
17974,,sensory neuron,glutamate,,LHS,SNta40,SNta40,,SNta40_MesoLN_L,SNta40_MesoLN_L,-1,11489
17975,06A,intrinsic neuron,gaba,A1,,IN06A091,IN06A091,RHS,IN06A091_A1_R,IN06A091_A1_R,-1,4369
17977,13B,intrinsic neuron,gaba,T3,,IN13B023,IN13B023,RHS,IN13B023_T3_R,IN13B023_T3_R,-1,6570
17984,TBD,intrinsic neuron,gaba,A4,,INXXX332,INXXX332,LHS,INXXX332_A4_L,INXXX332_A4_L,-1,10062
17985,08B,ascending neuron,acetylcholine,T1,RHS,AN08B109,AN08B109,LHS,AN08B109_T1_L,AN08B109_T1_L,1,607
17986,,sensory neuron,acetylcholine,,LHS,SNpp40,SNpp40,,SNpp40_MesoLN_L,SNpp40_MesoLN_L,-1,11229
17989,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A016,IN20A.22A016,RHS,IN20A.22A016_T1_R,IN20A.22A016_T1_R,1,8553
17993,01B,intrinsic neuron,gaba,T1,,IN01B052,IN01B052,LHS,IN01B052_T1_L,IN01B052_T1_L,-1,3012
17997,,descending neuron,acetylcholine,,RHS,DNxl021,DNxl021,,DNxl021_CvC_R,DNxl021_CvC_R,1,1785
17998,TBD,intrinsic neuron,gaba,A1,,INXXX233,INXXX233,LHS,INXXX233_A1_L,INXXX233_A1_L,-1,9805
18002,21A,intrinsic neuron,glutamate,T1,,IN21A082,IN21A082,RHS,IN21A082_T1_R,IN21A082_T1_R,-1,9070
18005,13A,intrinsic neuron,gaba,T2,,IN13A007,IN13A007,LHS,IN13A007_T2_L,IN13A007_T2_L,-1,6269
18007,04B,intrinsic neuron,acetylcholine,T2,,IN04B099,IN04B099,LHS,IN04B099_T2_L,IN04B099_T2_L,1,4003
18013,16B,intrinsic neuron,glutamate,T2,,IN16B065,IN16B065,RHS,IN16B065_T2_R,IN16B065_T2_R,-1,7419
18016,TBD,motor neuron,,A4,,MNad06,MNad06,LHS,MNad06_AbN4_R,MNad06_AbN4_R,-1,10465
18017,12B,intrinsic neuron,gaba,T3,,IN12B074,IN12B074,LHS,IN12B074_T3_L,IN12B074_T3_L,-1,6197
18020,TBD,motor neuron,glutamate,T2,,MNml03,Fe reductor MN,RHS,MNml03_MesoLN_R,MNml03_MesoLN_R,-1,10832
18022,,descending neuron,gaba,,LHS,DNxl010,DNg34,,DNxl010_CvC_L,DNxl010_CvC_L,-1,1762
18023,14A,intrinsic neuron,glutamate,T1,,IN14A038,IN14A038,RHS,IN14A038_T1_R,IN14A038_T1_R,-1,7006
18027,TBD,intrinsic neuron,glutamate,T2,,,,RHS,,29509,-1,3
18029,10B,intrinsic neuron,acetylcholine,T3,,IN10B012,IN10B012,LHS,IN10B012_T3_L,IN10B012_T3_L,1,5519
18030,19B,intrinsic neuron,acetylcholine,A1,,IN19B007,IN19B007,LHS,IN19B007_A1_L,IN19B007_A1_L,1,8339
18033,,descending neuron,acetylcholine,,RHS,DNut029,DNp33,,DNut029_CvC_R,DNut029_CvC_R,1,1677
18039,12B,intrinsic neuron,gaba,T2,,IN12B022,IN12B022,RHS,IN12B022_T2_R,IN12B022_T2_R,-1,5993
18040,,sensory neuron,acetylcholine,,LHS,SNxx20,SNxx20,,SNxx20_AbNT_L,SNxx20_AbNT_L,1,11595
18043,12B,intrinsic neuron,gaba,T2,,IN12B003,IN12B003,RHS,IN12B003_T2_R,IN12B003_T2_R,-1,5939
18046,08B,ascending neuron,acetylcholine,T1,RHS,AN08B034,AN08B034,LHS,AN08B034_T1_L,AN08B034_T1_L,1,537
18048,14B,intrinsic neuron,gaba,T2,,IN14B012,IN14B012,RHS,IN14B012_T2_R,IN14B012_T2_R,-1,7281
18051,12B,intrinsic neuron,gaba,T2,,IN12B005,IN12B005,RHS,IN12B005_T2_R,IN12B005_T2_R,-1,5947
18054,,sensory neuron,acetylcholine,,RHS,SNxx33,SNxx33,,SNxx33_ProLN_R,SNxx33_ProLN_R,-1,11642
18056,06A,ascending neuron,gaba,T1,LHS,AN06A017,AN06A017,RHS,AN06A017_T1_R,AN06A017_T1_R,-1,270
18058,TBD,ascending neuron,acetylcholine,T1,LHS,ANXXX255,ANXXX255,LHS,ANXXX255_T1_L,ANXXX255_T1_L,1,1398
18061,07B,ascending neuron,unknown,T1,LHS,AN07B095,AN07B095,RHS,AN07B095_T1_R,AN07B095_T1_R,-1,456
18063,08B,ascending neuron,acetylcholine,T2,RHS,AN08B024,AN08B024,LHS,AN08B024_T2_L,AN08B024_T2_L,1,513
18068,14A,ascending neuron,glutamate,T3,LHS,AN14A003,AN14A003,RHS,AN14A003_T3_R,AN14A003_T3_R,-1,935
18072,20A.22A,intrinsic neuron,acetylcholine,T3,,IN20A.22A084,IN20A.22A084,RHS,IN20A.22A084_T3_R,IN20A.22A084_T3_R,1,8757
18075,09B,intrinsic neuron,glutamate,T2,,IN09B008,IN09B008,LHS,IN09B008_T2_L,IN09B008_T2_L,-1,5425
18076,00B,efferent neuron,glutamate,A1,,EN00B024,EN00B024,Midline,EN00B024_A1_M,EN00B024_A1_M,-1,2426
18077,TBD,intrinsic neuron,acetylcholine,A6,,INXXX100,INXXX100,LHS,INXXX100_A6_L,INXXX100_A6_L,1,9624
18079,19B,ascending neuron,acetylcholine,T3,LHS,AN19B036,AN19B036,RHS,AN19B036_T3_R,AN19B036_T3_R,1,1117
18080,,descending neuron,glutamate,,RHS,DNxl086,DNxl086,,DNxl086_CvC_R,DNxl086_CvC_R,-1,1915
18084,11A,intrinsic neuron,glutamate,T2,,IN11A024,GFC3,LHS,IN11A024_T2_L,IN11A024_T2_L,-1,5703
18087,14A,intrinsic neuron,glutamate,T3,,IN14A038,IN14A038,LHS,IN14A038_T3_L,IN14A038_T3_L,-1,7009
18089,,sensory neuron,glutamate,,,SNta31,SNta31,,SNta31_MesoLN_R,SNta31_MesoLN_R,-1,11445
18092,TBD,intrinsic neuron,acetylcholine,T3,,INXXX179,INXXX179,RHS,INXXX179_T3_R,INXXX179_T3_R,1,9703
18094,,descending neuron,acetylcholine,,RHS,DNut034,DNut034,,DNut034_CvC_R,DNut034_CvC_R,1,1687
18096,,descending neuron,acetylcholine,,LHS,DNxn101,DNxn101,,DNxn101_CvC_L,DNxn101_CvC_L,1,2207
18099,00A,intrinsic neuron,gaba,T1,,IN00A050,IN00A050,Midline,IN00A050_T1_M,IN00A050_T1_M,-1,2561
18103,07B,intrinsic neuron,glutamate,T3,,IN07B023,IN07B023,LHS,IN07B023_T3_L,IN07B023_T3_L,-1,4697
18109,19A,intrinsic neuron,gaba,T1,,IN19A002,IN19A002,RHS,IN19A002_T1_R,IN19A002_T1_R,-1,7949
18110,06A,intrinsic neuron,glutamate,T2,,IN06A028,IN06A028,LHS,IN06A028_T2_L,IN06A028_T2_L,-1,4239
18113,TBD,intrinsic neuron,gaba,A6,,INXXX346,INXXX346,LHS,INXXX346_A6_L,INXXX346_A6_L,-1,10094
18114,03B,intrinsic neuron,gaba,T2,,IN03B056,IN03B056,RHS,IN03B056_T2_R,IN03B056_T2_R,-1,3694
18115,12B,intrinsic neuron,gaba,T1,,IN12B060,IN12B060,RHS,IN12B060_T1_R,IN12B060_T1_R,-1,6149
18117,TBD,intrinsic neuron,acetylcholine,T2,,INXXX076,INXXX076,RHS,INXXX076_T2_R,INXXX076_T2_R,1,9599
18118,06A,intrinsic neuron,gaba,A2,,IN06A109,IN06A109,LHS,IN06A109_A2_L,IN06A109_A2_L,-1,4410
18121,14A,intrinsic neuron,glutamate,T1,,IN14A101,IN14A101,LHS,IN14A101_T1_L,IN14A101_T1_L,-1,7182
18126,18B,intrinsic neuron,acetylcholine,T2,,IN18B034,IN18B034,LHS,IN18B034_T2_L,IN18B034_T2_L,1,7894
18131,09A,intrinsic neuron,gaba,T3,,IN09A056,IN09A056,RHS,IN09A056_T3_R,IN09A056_T3_R,-1,5293
18132,,descending neuron,acetylcholine,,RHS,DNxl033,DNg63,,DNxl033_CvC_R,DNxl033_CvC_R,1,1809
18133,23B,intrinsic neuron,acetylcholine,T1,,IN23B070,IN23B070,RHS,IN23B070_T1_R,IN23B070_T1_R,1,9392
18134,05B,intrinsic neuron,gaba,T1,,IN05B002,IN05B002,RHS,IN05B002_T1_R,IN05B002_T1_R,-1,4054
18135,,descending neuron,acetylcholine,,LHS,DNut001,DNa04,,DNut001_CvC_L,DNut001_CvC_L,1,1620
18136,13A,intrinsic neuron,gaba,T3,,IN13A012,IN13A012,LHS,IN13A012_T3_L,IN13A012_T3_L,-1,6297
18139,,sensory neuron,glutamate,,,SNpp44,SNpp44,,SNpp44_ProLN_R,SNpp44_ProLN_R,-1,11252
18140,01A,intrinsic neuron,acetylcholine,T3,,IN01A036,IN01A036,RHS,IN01A036_T3_R,IN01A036_T3_R,1,2700
18141,,descending neuron,glutamate,,LHS,DNxn062,DNg71,,DNxn062_CvC_L,DNxn062_CvC_L,-1,2129
18144,,descending neuron,glutamate,,LHS,DNut039,DNut039,,DNut039_CvC_L,DNut039_CvC_L,-1,1696
18145,,descending neuron,acetylcholine,,LHS,DNxn094,DNp69,,DNxn094_CvC_L,DNxn094_CvC_L,1,2193
18146,TBD,intrinsic neuron,acetylcholine,A1,,INXXX048,INXXX048,LHS,INXXX048_A1_L,INXXX048_A1_L,1,9567
18149,08A,intrinsic neuron,glutamate,T2,,IN08A008,IN08A008,RHS,IN08A008_T2_R,IN08A008_T2_R,-1,4854
18150,06A,motor neuron,glutamate,A1,,MNad10,MNad10,RHS,MNad10_AbN3_R,MNad10_AbN3_R,-1,10472
18152,TBD,intrinsic neuron,acetylcholine,A1,,INXXX387,INXXX387,LHS,INXXX387_A1_L,INXXX387_A1_L,1,10200
18153,TBD,intrinsic neuron,gaba,A3,,INXXX415,INXXX415,RHS,INXXX415_A3_R,INXXX415_A3_R,-1,10283
18154,10B,intrinsic neuron,acetylcholine,T1,,IN10B033,IN10B033,RHS,IN10B033_T1_R,IN10B033_T1_R,1,5560
18157,TBD,intrinsic neuron,gaba,A5,,INXXX287,INXXX287,RHS,INXXX287_A5_R,INXXX287_A5_R,-1,9947
18158,04B,intrinsic neuron,acetylcholine,T3,,IN04B043,IN04B043,LHS,IN04B043_T3_L,IN04B043_T3_L,1,3878
18161,09B,ascending neuron,glutamate,T1,LHS,AN09B035,AN09B035,RHS,AN09B035_T1_R,AN09B035_T1_R,-1,733
18162,TBD,ascending neuron,gaba,A6,RHS,ANXXX148,ANXXX148,LHS,ANXXX148_A6_L,ANXXX148_A6_L,-1,1337
18164,21A,intrinsic neuron,acetylcholine,T1,,IN21A005,IN21A005,LHS,IN21A005_T1_L,IN21A005_T1_L,1,8808
18166,,descending neuron,acetylcholine,,RHS,DNxl124,DNxl124,,DNxl124_CvC_R,DNxl124_CvC_R,1,1989
18167,18B,intrinsic neuron,acetylcholine,T2,,IN18B043,IN18B043,LHS,IN18B043_T2_L,IN18B043_T2_L,1,7916
18169,,descending neuron,acetylcholine,,RHS,DNut043,DNut043,,DNut043_CvC_R,DNut043_CvC_R,1,1705
18172,05B,ascending neuron,gaba,A2,RHS,AN05B009,AN05B009,LHS,AN05B009_A2_L,AN05B009_A2_L,-1,125
18173,TBD,motor neuron,glutamate,T1,,MNfl55,Tergopleural/Pleural promotor MN,RHS,MNfl55_DProN_R,MNfl55_DProN_R,-1,10704
18178,TBD,intrinsic neuron,gaba,A4,,INXXX406,INXXX406,LHS,INXXX406_A4_L,INXXX406_A4_L,-1,10260
18187,19A,intrinsic neuron,glutamate,T1,,IN19A120,IN19A120,LHS,IN19A120_T1_L,IN19A120_T1_L,-1,8292
18190,03A,intrinsic neuron,acetylcholine,T1,,IN03A018,IN03A018,LHS,IN03A018_T1_L,IN03A018_T1_L,1,3379
18192,06A,ascending neuron,gaba,A1,RHS,AN06A026,AN06A026,LHS,AN06A026_A1_L,AN06A026_A1_L,-1,273
18193,16B,intrinsic neuron,glutamate,T2,,IN16B071,IN16B071,LHS,IN16B071_T2_L,IN16B071_T2_L,-1,7430
18194,03A,intrinsic neuron,acetylcholine,T2,,IN03A073,IN03A073,LHS,IN03A073_T2_L,IN03A073_T2_L,1,3527
18199,01A,intrinsic neuron,acetylcholine,T3,,IN01A012,IN01A012,LHS,IN01A012_T3_L,IN01A012_T3_L,1,2625
18201,00B,efferent neuron,gaba,A9,,EN00B027,EN00B027,Midline,EN00B027_A9_M,EN00B027_A9_M,-1,2432
18202,,descending neuron,glutamate,,LHS,DNxl029,DNg44,,DNxl029_CvC_L,DNxl029_CvC_L,-1,1800
18205,04B,intrinsic neuron,acetylcholine,T3,,IN04B064,IN04B064,RHS,IN04B064_T3_R,IN04B064_T3_R,1,3919
18208,23B,intrinsic neuron,acetylcholine,T1,,IN23B040,IN23B040,LHS,IN23B040_T1_L,IN23B040_T1_L,1,9272
18209,24B.25B,motor neuron,glutamate,T3,,MNhl05,Tr flexor MN,RHS,MNhl05_MetaLN_R,MNhl05_MetaLN_R,-1,10718
18210,15B,motor neuron,glutamate,T2,,MNml25,Acc. ti flexor MN,LHS,MNml25_MesoLN_L,MNml25_MesoLN_L,-1,10868
18212,20A.22A,intrinsic neuron,acetylcholine,T1,,IN20A.22A042,IN20A.22A042,RHS,IN20A.22A042_T1_R,IN20A.22A042_T1_R,1,8637
18215,06B,ascending neuron,gaba,T3,LHS,AN06B048,AN06B048,RHS,AN06B048_T3_R,AN06B048_T3_R,-1,356
18216,12B,intrinsic neuron,gaba,T2,,IN12B073,IN12B073,RHS,IN12B073_T2_R,IN12B073_T2_R,-1,6190
18217,20B.21B.22B,motor neuron,glutamate,T1,,MNfl34,Sternal posterior rotator MN,LHS,MNfl34_ProAN_L,MNfl34_ProAN_L,-1,10662
18218,09B,intrinsic neuron,acetylcholine,T1,,IN09B038,IN09B038,RHS,IN09B038_T1_R,IN09B038_T1_R,1,5438
18227,03B,intrinsic neuron,gaba,T1,,IN03B021,IN03B021,LHS,IN03B021_T1_L,IN03B021_T1_L,-1,3631
18232,13A,intrinsic neuron,gaba,T3,,IN13A020,IN13A020,RHS,IN13A020_T3_R,IN13A020_T3_R,-1,6334
18236,08B,ascending neuron,acetylcholine,A1,LHS,AN08B018,AN08B018,RHS,AN08B018_A1_R,AN08B018_A1_R,1,488
18239,16B,intrinsic neuron,glutamate,T1,,IN16B083,IN16B083,LHS,IN16B083_T1_L,IN16B083_T1_L,-1,7462
18240,18B,intrinsic neuron,acetylcholine,T2,,IN18B020,IN18B020,RHS,IN18B020_T2_R,IN18B020_T2_R,1,7867
18241,10B,intrinsic neuron,acetylcholine,T1,,IN10B054,IN10B054,LHS,IN10B054_T1_L,IN10B054_T1_L,1,5618
18244,10B,ascending neuron,acetylcholine,T2,LHS,AN10B022,AN10B022,RHS,AN10B022_T2_R,AN10B022_T2_R,1,787
18246,19B,ascending neuron,acetylcholine,T3,RHS,AN19B102,AN19B102,LHS,AN19B102_T3_L,AN19B102_T3_L,1,1158
18247,19A,intrinsic neuron,gaba,T2,,IN19A094,IN19A094,LHS,IN19A094_T2_L,IN19A094_T2_L,-1,8221
18248,,descending neuron,gaba,,RHS,DNad005,DNad005,,DNad005_CvC_R,DNad005_CvC_R,-1,1442
18252,16B,intrinsic neuron,glutamate,T1,,IN16B032,IN16B032,RHS,IN16B032_T1_R,IN16B032_T1_R,-1,7326
18260,TBD,intrinsic neuron,glutamate,T1,,,,RHS,,18483,-1,1
18261,23B,intrinsic neuron,acetylcholine,T3,,IN23B068,IN23B068,RHS,IN23B068_T3_R,IN23B068_T3_R,1,9388
18264,17A,intrinsic neuron,acetylcholine,T2,,IN17A077,IN17A077,LHS,IN17A077_T2_L,IN17A077_T2_L,1,7724
18266,TBD,intrinsic neuron,gaba,A8,,INXXX124,INXXX124,RHS,INXXX124_A8_R,INXXX124_A8_R,-1,9655
18270,17A,intrinsic neuron,acetylcholine,T2,,IN17A072,IN17A072,RHS,IN17A072_T2_R,IN17A072_T2_R,1,7719
18272,14A,intrinsic neuron,glutamate,T1,,IN14A042,IN14A042,LHS,IN14A042_T1_L,IN14A042_T1_L,-1,7017
18273,,sensory ascending,glutamate,,LHS,SAxx02,SAxx02,,SAxx02_ProLN_L,SAxx02_ProLN_L,1,11081
18276,,descending neuron,acetylcholine,,LHS,DNut038,DNa15,,DNut038_CvC_L,DNut038_CvC_L,1,1694
18281,17A,ascending neuron,acetylcholine,T3,LHS,AN17A062,AN17A062,LHS,AN17A062_T3_L,AN17A062_T3_L,1,1006
18283,04B,intrinsic neuron,acetylcholine,T1,,IN04B053,IN04B053,RHS,IN04B053_T1_R,IN04B053_T1_R,1,3895
18284,14A,intrinsic neuron,glutamate,T1,,IN14A119,IN14A119,LHS,IN14A119_T1_L,IN14A119_T1_L,-1,7232
18286,04B,intrinsic neuron,acetylcholine,T1,,IN04B031,IN04B031,LHS,IN04B031_T1_L,IN04B031_T1_L,1,3846
18288,03B,intrinsic neuron,gaba,T1,,IN03B015,IN03B015,LHS,IN03B015_T1_L,IN03B015_T1_L,-1,3617
18289,21A,intrinsic neuron,acetylcholine,T1,,IN21A018,IN21A018,RHS,IN21A018_T1_R,IN21A018_T1_R,1,8887
18290,17A,intrinsic neuron,glutamate,T2,,IN17A049,IN17A049,LHS,IN17A049_T2_L,IN17A049_T2_L,-1,7668
18292,TBD,motor neuron,glutamate,A1,,MNad56,MNad56,RHS,MNad56_AbN3_R,MNad56_AbN3_R,-1,10580
18293,13A,intrinsic neuron,glutamate,T1,,IN13A071,IN13A071,RHS,IN13A071_T1_R,IN13A071_T1_R,-1,6463
18294,03A,intrinsic neuron,acetylcholine,T3,,IN03A040,IN03A040,LHS,IN03A040_T3_L,IN03A040_T3_L,1,3447
18296,21A,intrinsic neuron,acetylcholine,T2,,IN21A018,IN21A018,RHS,IN21A018_T2_R,IN21A018_T2_R,1,8889
18299,,descending neuron,acetylcholine,,LHS,DNxl062,DNp71,,DNxl062_CvC_L,DNxl062_CvC_L,1,1866
18300,,descending neuron,glutamate,,LHS,DNut049,DNut049,,DNut049_CvC_L,DNut049_CvC_L,-1,1716
18303,13A,intrinsic neuron,gaba,T2,,IN13A055,IN13A055,LHS,IN13A055_T2_L,IN13A055_T2_L,-1,6423
18304,,descending neuron,gaba,,LHS,DNxl080,DNxl080,,DNxl080_CvC_L,DNxl080_CvC_L,-1,1902
18305,,descending neuron,glutamate,,RHS,DNxn162,DNxn162,,DNxn162_CvC_R,DNxn162_CvC_R,-1,2328
18308,06A,intrinsic neuron,gaba,T3,,IN06A014,IN06A014,LHS,IN06A014_T3_L,IN06A014_T3_L,-1,4213
18313,,sensory neuron,glutamate,,RHS,SNta41,SNta41,,SNta41_MesoLN_R,SNta41_MesoLN_R,-1,11495
18314,09B,intrinsic neuron,glutamate,T1,LHS,IN09B044,IN09B044,RHS,IN09B044_T1_R,IN09B044_T1_R,-1,5450
18316,11A,intrinsic neuron,acetylcholine,T2,,IN11A018,IN11A018,RHS,IN11A018_T2_R,IN11A018_T2_R,1,5689
18317,TBD,intrinsic neuron,gaba,A3,,INXXX452,INXXX452,LHS,INXXX452_A3_L,INXXX452_A3_L,-1,10402
18323,TBD,ascending neuron,gaba,A1,,ANXXX157,ANXXX157,LHS,ANXXX157_A1_L,ANXXX157_A1_L,-1,1349
18326,19B,ascending neuron,acetylcholine,T1,RHS,AN19B044,AN19B044,LHS,AN19B044_T1_L,AN19B044_T1_L,1,1122
18327,14A,intrinsic neuron,glutamate,T2,,IN14A105,IN14A105,LHS,IN14A105_T2_L,IN14A105_T2_L,-1,7190
18330,07B,intrinsic neuron,glutamate,A7,,IN07B061,IN07B061,LHS,IN07B061_A7_L,IN07B061_A7_L,-1,4761
18331,,descending neuron,acetylcholine,,LHS,DNxn045,DNp35,,DNxn045_CvC_L,DNxn045_CvC_L,1,2098
