,hemilineage,class,predicted_nt,soma_neuromere,root_side,systematic_type,type,soma_side,instance,combined_type,nt_binary,idx
995,11A,intrinsic neuron,acetylcholine,T2,,IN11A042,IN11A042,RHS,IN11A042_T2_R,IN11A042_T2_R,1,5744
996,TBD,ascending neuron,gaba,A2,LHS,ANXXX019,ANXXX019,LHS,ANXXX019_A2_L,ANXXX019_A2_L,-1,1223
997,10B,intrinsic neuron,acetylcholine,T1,,IN10B014,IN10B014,LHS,IN10B014_T1_L,IN10B014_T1_L,1,5523
998,TBD,motor neuron,gaba,A8,,MNad12,MNad12,LHS,MNad12_AbNT_L,MNad12_AbNT_L,-1,10479
999,03B,intrinsic neuron,gaba,T1,,IN03B085,IN03B085,LHS,IN03B085_T1_L,IN03B085_T1_L,-1,3753
1001,01B,intrinsic neuron,gaba,T1,,IN01B095,IN01B095,RHS,IN01B095_T1_R,IN01B095_T1_R,-1,3118
1002,20B.21B.22B,motor neuron,glutamate,T1,,MNfl34,Sternal posterior rotator MN,RHS,MNfl34_ProAN_R,MNfl34_ProAN_R,-1,10663
1003,,descending neuron,gaba,,RHS,DNnt022,DNnt022,,DNnt022_CvC_R,DNnt022_CvC_R,-1,1619
1004,02A,intrinsic neuron,glutamate,T1,,IN02A056,IN02A056,LHS,IN02A056_T1_L,IN02A056_T1_L,-1,3283
1005,03A,intrinsic neuron,acetylcholine,T3,,IN03A067,IN03A067,RHS,IN03A067_T3_R,IN03A067_T3_R,1,3514
1006,19A,intrinsic neuron,gaba,T2,,IN19A106,IN19A106,RHS,IN19A106_T2_R,IN19A106_T2_R,-1,8257
1007,05B,intrinsic neuron,gaba,T3,,IN05B018,IN05B018,LHS,IN05B018_T3_L,IN05B018_T3_L,-1,4083
1008,,sensory neuron,acetylcholine,,RHS,SNpp35,SNpp35,,SNpp35_DMetaN_R,SNpp35_DMetaN_R,1,11216
1009,06B,intrinsic neuron,gaba,T3,,IN06B070,IN06B070,RHS,IN06B070_T3_R,IN06B070_T3_R,-1,4607
1011,,descending neuron,acetylcholine,,RHS,DNut007,DNg02,,DNut007_CvC_R,DNut007_CvC_R,1,1633
1012,,sensory neuron,glutamate,,LHS,SNta42,SNta42,,SNta42_MetaLN_L,SNta42_MetaLN_L,-1,11500
1013,01B,intrinsic neuron,gaba,T1,,IN01B002,IN01B002,LHS,IN01B002_T1_L,IN01B002_T1_L,-1,2851
1014,,sensory neuron,acetylcholine,,LHS,SNta03,SNta03,,SNta03_DMetaN_L,SNta03_DMetaN_L,1,11355
1015,,sensory neuron,acetylcholine,,LHS,SNch09,SNch09,,SNch09_ProLN_L,SNch09_ProLN_L,-1,11123
1016,11B,intrinsic neuron,gaba,T2,,IN11B015,IN11B015,LHS,IN11B015_T2_L,IN11B015_T2_L,-1,5774
1017,00A,intrinsic neuron,gaba,T3,,IN00A011,IN00A011,Midline,IN00A011_T3_M,IN00A011_T3_M,-1,2486
