idx,hitting_time,bodyId,cell_type,side,coords,nt,sign,cell_type_side
153,2.0976121033293467,11081,aMe17c,right,,glutamate,-1,aMe17c_right
154,2.9068248521364906,11089,vCal1,right,,unclear,1,vCal1_right
155,2.8270725429155124,11106,LoVC4,right,,gaba,-1,LoVC4_right
156,2.037729200855188,11113,Mi19,right,,serotonin,1,Mi19_right
157,1.97355148765896,11114,l-LNv,right,,unclear,1,l-LNv_right
158,3.0000096343912,11117,LPT27,right,,acetylcholine,1,LPT27_right
159,2.924504754437473,11124,Nod2,right,,unclear,1,Nod2_right
160,2.0030074150583608,11130,Cm35,right,,gaba,-1,Cm35_right
161,2.9966499113401337,11134,VSm,right,,unclear,1,VSm_right
162,2.018559019981664,11146,MeVPMe2,right,,glutamate,-1,MeVPMe2_right
163,2.625901135894408,11152,PLP032,right,,unclear,1,PLP032_right
164,2.5185026275222526,11153,LC22,right,,acetylcholine,1,LC22_right
165,2.7492665744453237,11155,OLVC5,right,,acetylcholine,1,OLVC5_right
166,2.744326233141052,11157,LT51,right,,unclear,1,LT51_right
167,2.301547826302891,11161,LoVP100,right,,unclear,1,LoVP100_right
168,2.9911111949232256,11169,LPT52,right,,unclear,1,LPT52_right
169,2.788574076797332,11180,LoVC5,right,,gaba,-1,LoVC5_right
170,1.0171870000388004,11188,Dm17,right,,glutamate,-1,Dm17_right
171,2.0092083227029383,11202,MeVPMe11,right,,glutamate,-1,MeVPMe11_right
172,2.151640926839518,11212,l-LNv,right,,unclear,1,l-LNv_right
173,2.677106558871338,11214,LoVC22,left,,dopamine,1,LoVC22_left
174,2.0484670478171845,11217,LT58,right,,glutamate,-1,LT58_right
175,2.457571503292925,11254,LT41,right,,gaba,-1,LT41_right
176,2.4892992346587213,11260,MeVC4a,left,,acetylcholine,1,MeVC4a_left
177,2.5629359987404623,11264,OA-ASM1,left,,octopamine,1,OA-ASM1_left
178,2.9017372719754992,11291,LT82a,right,,unclear,1,LT82a_right
179,2.833655875715148,11293,Nod3,right,,unclear,1,Nod3_right
180,2.3040581820886725,11296,MeVC22,right,,glutamate,-1,MeVC22_right
181,1.0172534338555976,11312,Dm17,right,,glutamate,-1,Dm17_right
182,2.8737226978489763,11319,LT42,right,,gaba,-1,LT42_right
183,2.699162661255792,11335,LT51,right,,unclear,1,LT51_right
184,3.958021420668488,11337,vCal1,left,,unclear,1,vCal1_left
185,2.7239303084975965,11344,MeVC6,left,,acetylcholine,1,MeVC6_left
186,2.9707742540506223,11346,Nod1,right,,acetylcholine,1,Nod1_right
187,2.39312649936433,11368,MeVC3,left,,acetylcholine,1,MeVC3_left
188,1.8956134408618068,11369,DNc01,left,,unclear,1,DNc01_left
189,2.585924667897129,11372,LC9,right,,acetylcholine,1,LC9_right
190,2.540033430337971,11375,MeVPLo1,right,,glutamate,-1,MeVPLo1_right
191,2.4115854692893737,11384,MeVPMe6,left,,glutamate,-1,MeVPMe6_left
192,2.2825564258669857,11385,MeVC22,right,,glutamate,-1,MeVC22_right
193,2.495243368503941,11394,Li16,right,,glutamate,-1,Li16_right
194,1.8566805420072767,11396,MeVPMe3,right,,glutamate,-1,MeVPMe3_right
195,2.4809867939841856,11406,LoVC1,left,,glutamate,-1,LoVC1_left
196,2.381732468122328,11435,LoVP54,right,,acetylcholine,1,LoVP54_right
197,2.2062617903922463,11446,MeVP49,right,,unclear,1,MeVP49_right
198,2.656405925953601,11454,MeVPaMe1,left,,acetylcholine,1,MeVPaMe1_left
199,2.756455654438583,11463,LT51,right,,unclear,1,LT51_right
200,2.375690885465012,11473,LT61a,right,,unclear,1,LT61a_right
201,2.604275577933907,11485,MeVPLo1,left,,glutamate,-1,MeVPLo1_left
202,2.013271307893987,11507,PLP211,right,,unclear,1,PLP211_right
203,2.799780474973548,11522,LT86,right,,unclear,1,LT86_right
204,2.9935094034902567,11551,VS,right,,acetylcholine,1,VS_right
205,2.7258719831604443,11579,LT82a,right,,unclear,1,LT82a_right
206,2.6221043113610003,11586,LoVC19,right,,acetylcholine,1,LoVC19_right
207,2.3539352562232425,11595,MeVP23,right,,unclear,1,MeVP23_right
208,2.3018385280735263,11602,OA-ASM1,left,,octopamine,1,OA-ASM1_left
209,2.8611379528830256,11609,LPT49,right,,acetylcholine,1,LPT49_right
210,2.2666334040203773,11628,LT40,right,,gaba,-1,LT40_right
211,2.8975152991510567,11641,MeVPLp2,left,,glutamate,-1,MeVPLp2_left
212,2.7843591553582634,11658,LoVCLo1,left,,acetylcholine,1,LoVCLo1_left
213,2.637978397654735,11665,LoVC19,right,,acetylcholine,1,LoVC19_right
214,2.099970791931294,11669,MeVPMe7,right,,glutamate,-1,MeVPMe7_right
215,2.729733631413353,11670,LT51,right,,unclear,1,LT51_right
216,2.002372255600981,11684,MeVPLp2,right,,glutamate,-1,MeVPLp2_right
217,2.4943374602390582,11689,Li16,right,,glutamate,-1,Li16_right
218,2.4106193102877467,11690,MeVP29,right,,acetylcholine,1,MeVP29_right
219,2.917480696928884,11696,LPT26,right,,acetylcholine,1,LPT26_right
220,1.732736128126354,11715,l-LNv,right,,unclear,1,l-LNv_right
221,2.0228688958188936,11716,MeVC21,right,,glutamate,-1,MeVC21_right
222,2.095126871322311,11769,LoVP18,right,,acetylcholine,1,LoVP18_right
223,2.057893706269648,11773,MeVP36,right,,unclear,1,MeVP36_right
224,2.773007421202274,11802,LT46,left,,gaba,-1,LT46_left
225,2.6921678418455204,11806,LoVCLo2,left,,unclear,1,LoVCLo2_left
226,1.0003338870641785,11807,Dm19,right,,glutamate,-1,Dm19_right
227,2.5595690407423364,11812,LC31b,right,,unclear,1,LC31b_right
228,2.1265252466649915,11842,MeVP56,right,,unclear,1,MeVP56_right
229,2.833113707419558,11843,LoVCLo1,right,,acetylcholine,1,LoVCLo1_right
230,1.000211366319775,11852,Dm19,right,,glutamate,-1,Dm19_right
231,2.0883989111056223,11853,MeVPMe1,left,,glutamate,-1,MeVPMe1_left
232,2.0596821012581388,11855,MeVC21,right,,glutamate,-1,MeVC21_right
233,2.0274393996000803,11858,MeVC21,right,,glutamate,-1,MeVC21_right
234,2.7450642787597914,11887,LT82b,right,,unclear,1,LT82b_right
235,2.2643066173460507,11901,5thsLNv_LNd6,right,,acetylcholine,1,5thsLNv_LNd6_right
236,2.8986658836698136,11907,LoVP90a,right,,unclear,1,LoVP90a_right
237,2.2263267464704675,11911,LT88,right,,glutamate,-1,LT88_right
238,1.9447577833564595,11918,aMe4,right,,acetylcholine,1,aMe4_right
239,2.5791592078535395,11926,LoVP85,right,,unclear,1,LoVP85_right
240,2.694936191318813,11939,MeVC27,left,,unclear,1,MeVC27_left
241,2.50186262630132,11947,MeVPLo1,right,,glutamate,-1,MeVPLo1_right
242,2.502380075391882,11953,LT51,right,,unclear,1,LT51_right
243,2.000306516455608,11981,Li28,right,,gaba,-1,Li28_right
244,2.012942783205362,11999,l-LNv,left,,unclear,1,l-LNv_left
245,1.000296870261636,12011,Dm19,right,,glutamate,-1,Dm19_right
246,2.655304988163357,12013,MeVPMe5,left,,glutamate,-1,MeVPMe5_left
247,1.0002864832785776,12021,Dm19,right,,glutamate,-1,Dm19_right
248,1.0002298648082697,12047,Dm19,right,,glutamate,-1,Dm19_right
249,2.066323142907855,12048,MeVP57,right,,unclear,1,MeVP57_right
250,2.5306666745314046,12067,LoVCLo2,right,,unclear,1,LoVCLo2_right
251,2.135278420518974,12070,MeVPMe6,right,,glutamate,-1,MeVPMe6_right
252,1.0011137713166252,12078,Dm6,right,,glutamate,-1,Dm6_right
253,1.0003092509331477,12087,Dm19,right,,glutamate,-1,Dm19_right
254,2.859471541933721,12094,LoVP90c,right,,unclear,1,LoVP90c_right
255,1.001359989254931,12099,Dm6,right,,glutamate,-1,Dm6_right
256,3.047682097525283,12105,MeVC7b,left,,acetylcholine,1,MeVC7b_left
257,1.878553949782292,12112,MeVC12,left,,acetylcholine,1,MeVC12_left
258,2.360682307355239,12140,MeVPLo1,left,,glutamate,-1,MeVPLo1_left
259,2.0589647090155334,12145,LoVP53,right,,acetylcholine,1,LoVP53_right
260,2.4651514136169936,12149,Cm30,right,,gaba,-1,Cm30_right
261,1.9966123598674643,12172,MeVPaMe2,right,,glutamate,-1,MeVPaMe2_right
262,2.666093442634361,12174,LoVC9,left,,gaba,-1,LoVC9_left
263,1.0003191133941458,12193,Dm19,right,,glutamate,-1,Dm19_right
264,1.0002579674265055,12200,Dm19,right,,glutamate,-1,Dm19_right
265,2.7411403119196485,12202,LoVP90b,right,,unclear,1,LoVP90b_right
266,1.0002185859278052,12204,Dm19,right,,glutamate,-1,Dm19_right
267,2.2392758850704717,12211,aMe12,left,,acetylcholine,1,aMe12_left
268,2.7877993385833006,12235,MeVC5,left,,acetylcholine,1,MeVC5_left
