bodyId,cell_type,side,idx,nt,sign
101923,Mi9,right,32653,glutamate,-1
101925,Tm6,right,32654,acetylcholine,1
101926,Tm34,right,32655,glutamate,-1
101927,T5b,right,32656,acetylcholine,1
101928,Tm12,right,32657,acetylcholine,1
101929,Tm5c,right,32658,glutamate,-1
101932,Tm6,right,32659,acetylcholine,1
101938,Tm35,right,32660,glutamate,-1
101945,T4b,right,32661,acetylcholine,1
101952,Tm12,right,32662,acetylcholine,1
101956,Mi13,right,32663,glutamate,-1
101957,Tm9,right,32664,acetylcholine,1
101960,T4d,right,32665,acetylcholine,1
101961,Tm3,right,32666,acetylcholine,1
101962,Tm3,right,32667,acetylcholine,1
101965,T4a,right,32668,acetylcholine,1
101970,T5a,right,32669,acetylcholine,1
101971,Tm4,right,32670,acetylcholine,1
101974,C2,right,32671,gaba,-1
101976,L5,right,32672,acetylcholine,1
101980,Tm6,right,32673,acetylcholine,1
101988,L5,right,32674,acetylcholine,1
101994,T4a,right,32675,acetylcholine,1
101998,T4d,right,32676,acetylcholine,1
102001,C3,right,32677,gaba,-1
102002,Tm3,right,32678,acetylcholine,1
102008,T4c,right,32679,acetylcholine,1
102009,Tm12,right,32680,acetylcholine,1
102011,C2,right,32681,gaba,-1
102013,Tm6,right,32682,acetylcholine,1
102015,Tm4,right,32683,acetylcholine,1
102016,T4a,right,32684,acetylcholine,1
102019,T5c,right,32685,acetylcholine,1
102021,Tm3,right,32686,acetylcholine,1
102023,Tm29,right,32687,glutamate,-1
102024,T4b,right,32688,acetylcholine,1
102028,MeTu3c,right,32689,acetylcholine,1
102030,Tm4,right,32690,acetylcholine,1
102031,T4c,right,32691,acetylcholine,1
102032,Mi9,right,32692,glutamate,-1
102040,Mi9,right,32693,glutamate,-1
102043,Dm8a,right,32694,glutamate,-1
102045,T4a,right,32695,acetylcholine,1
102047,L3,right,32696,acetylcholine,1
102052,Mi9,right,32697,glutamate,-1
102054,Tm6,right,32698,acetylcholine,1
102060,Tm20,right,32699,acetylcholine,1
102062,Mi13,right,32700,glutamate,-1
102063,Mi2,right,32701,glutamate,-1
102065,Tm20,right,32702,acetylcholine,1
102067,T4c,right,32703,acetylcholine,1
102072,T5a,right,32704,acetylcholine,1
102074,T5b,right,32705,acetylcholine,1
102076,Tm5b,right,32706,acetylcholine,1
102079,Li27,right,32707,gaba,-1
102082,Mi9,right,32708,glutamate,-1
102083,Tm6,right,32709,acetylcholine,1
102089,Mi2,right,32710,glutamate,-1
102091,Mi16,right,32711,gaba,-1
