,bodyid,hemilineage,class,predictedNt,somaNeuromere,rootSide,systematicType,type,somaSide,name,combined_type,nt_binary,idx
19510,32714,12A,intrinsic neuron,acetylcholine,T2,,IN12A040,vMS12,LHS,IN12A040_T2_L,IN12A040_T2_L,1,16161
19511,32722,,sensory neuron,acetylcholine,,RHS,SNxx14,SNxx14,,SNxx14_AbN3_R,SNxx14_AbN3_R,1,16162
19512,32723,,sensory neuron,acetylcholine,,RHS,SNch03,SNch03,,SNch03_ADMN_R,SNch03_ADMN_R,1,16163
19513,32727,,sensory neuron,acetylcholine,,RHS,SNta18,SNta18,,SNta18_ADMN_R,SNta18_ADMN_R,1,16164
19514,32734,,sensory neuron,acetylcholine,,RHS,SNch12,SNch12,,SNch12_ADMN_R,SNch12_ADMN_R,1,16165
19515,32735,,sensory neuron,acetylcholine,,RHS,SNta18,SNta18,,SNta18_ADMN_R,SNta18_ADMN_R,1,16166
19516,32736,06A,intrinsic neuron,gaba,T3,,IN06A136,IN06A136,LHS,IN06A136_T3_L,IN06A136_T3_L,-1,16167
19517,32739,,sensory ascending,acetylcholine,,RHS,SApp09,SApp09,,SApp09_DMetaN_R,SApp09_DMetaN_R,1,16168
19518,32740,,sensory neuron,acetylcholine,,LHS,SNch02,SNch02,,SNch02_ADMN_L,SNch02_ADMN_L,1,16169
19519,32742,,descending neuron,acetylcholine,,LHS,DNfl002,DNg12,,DNfl002_CvC_L,DNfl002_CvC_L,1,16170
19520,32744,,descending neuron,gaba,,RHS,DNxn106,DNxn106,,DNxn106_CvC_R,DNxn106_CvC_R,-1,16171
19521,32746,,sensory neuron,acetylcholine,,LHS,SNta09,SNta09,,SNta09_PDMN_L,SNta09_PDMN_L,1,16172
19522,32752,,sensory neuron,acetylcholine,,RHS,SNch12,SNch12,,SNch12_ADMN_R,SNch12_ADMN_R,1,16173
19523,32754,,sensory neuron,acetylcholine,,RHS,SNxx03,SNxx03,,SNxx03_AbN4_R,SNxx03_AbN4_R,1,16174
